,c_0,c_1,c_2,c_3,c_4,c_5
variant_18300,99.0,10.0,1.0,0.0,0.0,0.0
variant_18301,1.0,0.0,0.0,0.0,0.0,0.0
variant_18302,122.0,8.0,1.0,0.0,0.0,0.0
variant_18303,112.0,12.0,0.0,0.0,0.0,0.0
variant_18304,274.0,96.0,55.0,67.0,136.0,88.0
variant_18305,9.0,0.0,0.0,0.0,0.0,0.0
variant_18306,232.0,8.0,4.0,8.0,5.0,0.0
variant_18307,190.0,23.0,13.0,13.0,3.0,0.0
variant_18308,427.0,74.0,39.0,44.0,16.0,3.0
variant_18309,319.0,111.0,71.0,126.0,161.0,72.0
variant_18310,116.0,5.0,3.0,0.0,0.0,0.0
variant_18311,23.0,0.0,0.0,0.0,0.0,0.0
variant_18312,68.0,7.0,0.0,5.0,0.0,0.0
variant_18313,14.0,0.0,0.0,0.0,0.0,0.0
variant_18314,91.0,2.0,0.0,0.0,0.0,0.0
variant_18315,228.0,60.0,29.0,51.0,33.0,19.0
variant_18316,83.0,2.0,1.0,2.0,8.0,0.0
variant_18317,57.0,1.0,0.0,0.0,0.0,0.0
variant_18318,206.0,52.0,19.0,32.0,73.0,26.0
variant_18319,133.0,17.0,2.0,8.0,7.0,0.0
variant_18320,15.0,0.0,0.0,0.0,0.0,0.0
variant_18321,652.0,164.0,98.0,215.0,223.0,73.0
variant_18322,138.0,6.0,0.0,0.0,0.0,0.0
variant_18323,1188.0,615.0,444.0,915.0,1585.0,939.0
variant_18324,75.0,1.0,0.0,0.0,0.0,0.0
variant_18325,95.0,4.0,0.0,0.0,0.0,0.0
variant_18326,212.0,14.0,3.0,4.0,17.0,7.0
variant_18327,35.0,5.0,0.0,0.0,0.0,0.0
variant_18328,3261.0,877.0,522.0,1048.0,1542.0,780.0
variant_18329,421.0,21.0,7.0,10.0,4.0,4.0
variant_18330,52.0,6.0,2.0,3.0,0.0,0.0
variant_18331,638.0,232.0,140.0,215.0,279.0,121.0
variant_18332,1998.0,459.0,312.0,706.0,863.0,454.0
variant_18333,101.0,13.0,0.0,0.0,0.0,0.0
variant_18334,3.0,0.0,0.0,0.0,0.0,0.0
variant_18335,37.0,6.0,2.0,11.0,13.0,1.0
variant_18336,4759.0,1176.0,563.0,1179.0,1497.0,745.0
variant_18337,1929.0,540.0,339.0,704.0,894.0,433.0
variant_18338,461.0,163.0,85.0,180.0,261.0,100.0
variant_18339,1083.0,100.0,50.0,26.0,15.0,8.0
variant_18340,990.0,76.0,22.0,29.0,18.0,11.0
variant_18341,389.0,98.0,33.0,113.0,146.0,55.0
variant_18342,197.0,15.0,0.0,0.0,0.0,0.0
variant_18343,353.0,67.0,35.0,63.0,30.0,11.0
variant_18344,102.0,24.0,13.0,5.0,4.0,1.0
variant_18345,325.0,204.0,186.0,412.0,1055.0,820.0
variant_18346,299.0,83.0,49.0,65.0,88.0,50.0
variant_18347,216.0,52.0,19.0,15.0,9.0,2.0
variant_18348,2628.0,525.0,323.0,761.0,845.0,490.0
variant_18349,121.0,10.0,2.0,0.0,0.0,0.0
variant_18350,490.0,171.0,73.0,136.0,132.0,68.0
variant_18351,837.0,663.0,676.0,1743.0,2904.0,1709.0
variant_18352,137.0,0.0,0.0,0.0,0.0,0.0
variant_18353,255.0,113.0,108.0,231.0,308.0,165.0
variant_18354,228.0,9.0,1.0,0.0,0.0,0.0
variant_18355,532.0,192.0,109.0,216.0,189.0,79.0
variant_18356,390.0,136.0,110.0,144.0,308.0,191.0
variant_18357,102.0,4.0,1.0,0.0,0.0,0.0
variant_18358,287.0,45.0,35.0,29.0,25.0,5.0
variant_18359,134.0,25.0,7.0,16.0,12.0,9.0
variant_18360,25.0,0.0,0.0,0.0,0.0,0.0
variant_18361,1189.0,611.0,430.0,983.0,1336.0,659.0
variant_18362,553.0,121.0,46.0,94.0,133.0,44.0
variant_18363,51.0,0.0,0.0,0.0,0.0,0.0
variant_18364,876.0,73.0,35.0,59.0,29.0,18.0
variant_18365,851.0,315.0,181.0,324.0,402.0,146.0
variant_18366,413.0,92.0,85.0,212.0,322.0,193.0
variant_18367,688.0,316.0,228.0,557.0,744.0,558.0
variant_18368,1024.0,275.0,198.0,502.0,1271.0,1038.0
variant_18369,619.0,83.0,17.0,36.0,37.0,6.0
variant_18370,384.0,129.0,67.0,178.0,184.0,77.0
variant_18371,1139.0,154.0,69.0,84.0,37.0,26.0
variant_18372,615.0,118.0,68.0,104.0,142.0,60.0
variant_18373,799.0,213.0,127.0,225.0,288.0,139.0
variant_18374,390.0,163.0,78.0,117.0,144.0,60.0
variant_18375,654.0,64.0,12.0,36.0,30.0,6.0
variant_18376,327.0,26.0,3.0,5.0,7.0,4.0
variant_18377,549.0,70.0,48.0,84.0,110.0,64.0
variant_18378,3.0,0.0,0.0,0.0,0.0,0.0
variant_18379,740.0,76.0,22.0,37.0,39.0,17.0
variant_18380,229.0,46.0,16.0,20.0,16.0,11.0
variant_18381,153.0,18.0,5.0,0.0,0.0,0.0
variant_18382,115.0,11.0,1.0,0.0,0.0,0.0
variant_18383,749.0,149.0,80.0,104.0,89.0,35.0
variant_18384,125.0,10.0,0.0,0.0,0.0,0.0
variant_18385,614.0,279.0,97.0,161.0,227.0,101.0
variant_18386,495.0,67.0,25.0,62.0,28.0,22.0
variant_18387,236.0,103.0,54.0,85.0,85.0,33.0
variant_18388,216.0,15.0,17.0,24.0,65.0,25.0
variant_18389,101.0,10.0,3.0,0.0,0.0,0.0
variant_18390,212.0,50.0,67.0,187.0,211.0,92.0
variant_18391,380.0,92.0,45.0,74.0,69.0,30.0
variant_18392,911.0,204.0,101.0,304.0,395.0,183.0
variant_18393,1127.0,172.0,110.0,202.0,175.0,115.0
variant_18394,94.0,8.0,14.0,3.0,10.0,22.0
variant_18395,183.0,3.0,2.0,0.0,1.0,0.0
variant_18396,449.0,202.0,150.0,325.0,588.0,340.0
variant_18397,2191.0,613.0,320.0,600.0,857.0,426.0
variant_18398,203.0,52.0,33.0,61.0,90.0,41.0
variant_18399,87.0,0.0,0.0,0.0,0.0,0.0
variant_18400,951.0,232.0,120.0,227.0,301.0,161.0
variant_18401,281.0,4.0,4.0,7.0,0.0,0.0
variant_18402,114.0,1.0,0.0,0.0,0.0,0.0
variant_18403,31.0,0.0,0.0,0.0,0.0,0.0
variant_18404,60.0,10.0,0.0,0.0,0.0,0.0
variant_18405,557.0,59.0,19.0,20.0,21.0,10.0
variant_18406,485.0,63.0,9.0,32.0,29.0,10.0
variant_18407,431.0,280.0,191.0,434.0,575.0,307.0
variant_18408,382.0,143.0,58.0,91.0,111.0,42.0
variant_18409,225.0,20.0,14.0,14.0,7.0,6.0
variant_18410,310.0,19.0,5.0,2.0,3.0,5.0
variant_18411,814.0,197.0,160.0,384.0,597.0,315.0
variant_18412,109.0,7.0,2.0,11.0,6.0,0.0
variant_18413,280.0,83.0,44.0,112.0,126.0,60.0
variant_18414,400.0,71.0,72.0,101.0,101.0,43.0
variant_18415,390.0,171.0,75.0,155.0,156.0,73.0
variant_18416,946.0,181.0,75.0,98.0,103.0,18.0
variant_18417,298.0,11.0,14.0,11.0,12.0,2.0
variant_18418,516.0,80.0,47.0,68.0,66.0,40.0
variant_18419,952.0,482.0,342.0,783.0,1233.0,741.0
variant_18420,1143.0,356.0,349.0,910.0,1392.0,1101.0
variant_18421,507.0,198.0,108.0,255.0,352.0,177.0
variant_18422,539.0,261.0,179.0,396.0,600.0,338.0
variant_18423,2846.0,728.0,349.0,638.0,721.0,349.0
variant_18424,409.0,102.0,29.0,45.0,47.0,10.0
variant_18425,186.0,11.0,0.0,0.0,0.0,0.0
variant_18426,178.0,13.0,2.0,0.0,0.0,0.0
variant_18427,393.0,64.0,41.0,47.0,36.0,10.0
variant_18428,3122.0,271.0,100.0,189.0,155.0,60.0
variant_18429,55.0,0.0,0.0,0.0,0.0,0.0
variant_18430,730.0,89.0,21.0,21.0,2.0,0.0
variant_18431,1376.0,187.0,65.0,115.0,76.0,25.0
variant_18432,1170.0,289.0,181.0,373.0,456.0,259.0
variant_18433,512.0,65.0,85.0,91.0,62.0,9.0
variant_18434,119.0,14.0,0.0,3.0,0.0,0.0
variant_18435,570.0,180.0,193.0,414.0,627.0,334.0
variant_18436,151.0,28.0,20.0,64.0,61.0,29.0
variant_18437,21.0,0.0,0.0,0.0,0.0,0.0
variant_18438,56.0,7.0,3.0,6.0,4.0,4.0
variant_18439,84.0,11.0,2.0,0.0,0.0,0.0
variant_18440,320.0,70.0,35.0,47.0,61.0,29.0
variant_18441,99.0,5.0,1.0,0.0,0.0,0.0
variant_18442,398.0,149.0,91.0,165.0,185.0,90.0
variant_18443,33.0,2.0,0.0,0.0,0.0,0.0
variant_18444,300.0,74.0,18.0,21.0,34.0,6.0
variant_18445,74.0,2.0,0.0,0.0,0.0,0.0
variant_18446,164.0,76.0,23.0,23.0,54.0,20.0
variant_18447,160.0,9.0,2.0,0.0,0.0,0.0
variant_18448,402.0,79.0,30.0,94.0,56.0,24.0
variant_18449,211.0,15.0,3.0,0.0,2.0,4.0
variant_18450,1068.0,325.0,166.0,559.0,764.0,468.0
variant_18451,646.0,314.0,225.0,439.0,722.0,464.0
variant_18452,636.0,23.0,2.0,10.0,5.0,1.0
variant_18453,448.0,221.0,127.0,233.0,285.0,139.0
variant_18454,261.0,45.0,19.0,22.0,22.0,16.0
variant_18455,140.0,25.0,9.0,11.0,7.0,16.0
variant_18456,1976.0,903.0,753.0,1386.0,2221.0,1207.0
variant_18457,1532.0,410.0,205.0,363.0,492.0,253.0
variant_18458,2600.0,843.0,514.0,880.0,1152.0,467.0
variant_18459,1614.0,171.0,76.0,150.0,148.0,73.0
variant_18460,355.0,48.0,18.0,31.0,25.0,11.0
variant_18461,387.0,32.0,6.0,5.0,4.0,2.0
variant_18462,311.0,127.0,61.0,106.0,87.0,29.0
variant_18463,126.0,97.0,120.0,281.0,524.0,360.0
variant_18464,214.0,32.0,5.0,9.0,4.0,2.0
variant_18465,406.0,37.0,5.0,1.0,0.0,0.0
variant_18466,158.0,3.0,0.0,0.0,0.0,0.0
variant_18467,6068.0,1547.0,935.0,2103.0,2796.0,1809.0
variant_18468,905.0,417.0,351.0,738.0,928.0,381.0
variant_18469,175.0,16.0,4.0,2.0,1.0,0.0
variant_18470,385.0,236.0,169.0,367.0,534.0,310.0
variant_18471,256.0,57.0,15.0,16.0,15.0,6.0
variant_18472,180.0,65.0,53.0,68.0,69.0,42.0
variant_18473,374.0,140.0,121.0,255.0,367.0,141.0
variant_18474,396.0,246.0,201.0,301.0,408.0,262.0
variant_18475,241.0,36.0,8.0,0.0,0.0,0.0
variant_18476,398.0,84.0,25.0,41.0,47.0,23.0
variant_18477,132.0,8.0,1.0,0.0,0.0,0.0
variant_18478,86.0,4.0,0.0,0.0,0.0,0.0
variant_18479,895.0,431.0,360.0,809.0,1285.0,628.0
variant_18480,202.0,23.0,8.0,5.0,1.0,0.0
variant_18481,287.0,28.0,10.0,11.0,9.0,11.0
variant_18482,35.0,4.0,0.0,0.0,0.0,0.0
variant_18483,243.0,6.0,0.0,0.0,0.0,0.0
variant_18484,247.0,35.0,27.0,24.0,10.0,2.0
variant_18485,17.0,0.0,0.0,0.0,0.0,0.0
variant_18486,193.0,18.0,5.0,0.0,0.0,0.0
variant_18487,124.0,15.0,0.0,0.0,0.0,0.0
variant_18488,382.0,137.0,50.0,112.0,104.0,44.0
variant_18489,186.0,55.0,37.0,89.0,103.0,60.0
variant_18490,11.0,0.0,0.0,0.0,0.0,0.0
variant_18491,34.0,0.0,0.0,0.0,0.0,0.0
variant_18492,351.0,111.0,74.0,116.0,122.0,52.0
variant_18493,398.0,27.0,28.0,44.0,32.0,21.0
variant_18494,209.0,31.0,6.0,13.0,12.0,3.0
variant_18495,1041.0,241.0,240.0,587.0,985.0,812.0
variant_18496,236.0,22.0,1.0,2.0,0.0,0.0
variant_18497,1216.0,171.0,97.0,159.0,131.0,86.0
variant_18498,134.0,7.0,0.0,0.0,0.0,0.0
variant_18499,515.0,103.0,65.0,125.0,147.0,42.0
variant_18500,679.0,201.0,116.0,234.0,341.0,213.0
variant_18501,246.0,47.0,8.0,28.0,16.0,7.0
variant_18502,4.0,0.0,0.0,0.0,0.0,0.0
variant_18503,669.0,275.0,170.0,361.0,494.0,238.0
variant_18504,489.0,86.0,69.0,201.0,344.0,175.0
variant_18505,375.0,128.0,49.0,49.0,81.0,37.0
variant_18506,906.0,147.0,92.0,157.0,160.0,92.0
variant_18507,875.0,143.0,103.0,228.0,315.0,182.0
variant_18508,1223.0,348.0,135.0,356.0,505.0,243.0
variant_18509,153.0,46.0,16.0,36.0,45.0,43.0
variant_18510,2081.0,618.0,398.0,973.0,1333.0,719.0
variant_18511,275.0,12.0,0.0,6.0,4.0,5.0
variant_18512,134.0,1.0,1.0,0.0,0.0,0.0
variant_18513,791.0,143.0,44.0,52.0,71.0,25.0
variant_18514,336.0,135.0,54.0,124.0,117.0,32.0
variant_18515,1826.0,387.0,204.0,488.0,404.0,218.0
variant_18516,241.0,26.0,23.0,44.0,91.0,29.0
variant_18517,387.0,143.0,70.0,183.0,156.0,74.0
variant_18518,390.0,12.0,2.0,20.0,11.0,8.0
variant_18519,58.0,0.0,0.0,0.0,0.0,0.0
variant_18520,510.0,113.0,41.0,100.0,85.0,59.0
variant_18521,1506.0,310.0,179.0,306.0,422.0,144.0
variant_18522,1772.0,825.0,613.0,1369.0,2088.0,1462.0
variant_18523,199.0,37.0,24.0,42.0,33.0,5.0
variant_18524,11.0,0.0,0.0,0.0,0.0,0.0
variant_18525,584.0,206.0,159.0,278.0,369.0,254.0
variant_18526,1412.0,320.0,151.0,336.0,504.0,249.0
variant_18527,595.0,131.0,51.0,134.0,172.0,86.0
variant_18528,224.0,5.0,0.0,0.0,0.0,0.0
variant_18529,36.0,0.0,0.0,0.0,0.0,0.0
variant_18530,130.0,54.0,45.0,107.0,115.0,40.0
variant_18531,337.0,66.0,45.0,40.0,41.0,6.0
variant_18532,70.0,0.0,0.0,0.0,0.0,0.0
variant_18533,71.0,4.0,0.0,0.0,0.0,0.0
variant_18534,131.0,10.0,4.0,3.0,19.0,5.0
variant_18535,171.0,19.0,6.0,25.0,20.0,2.0
variant_18536,227.0,6.0,1.0,8.0,5.0,3.0
variant_18537,918.0,123.0,93.0,208.0,243.0,90.0
variant_18538,140.0,17.0,1.0,0.0,0.0,0.0
variant_18539,76.0,1.0,0.0,0.0,0.0,0.0
variant_18540,239.0,7.0,4.0,0.0,0.0,0.0
variant_18541,314.0,20.0,8.0,0.0,0.0,0.0
variant_18542,196.0,10.0,1.0,0.0,0.0,0.0
variant_18543,398.0,56.0,34.0,31.0,55.0,31.0
variant_18544,490.0,143.0,62.0,135.0,257.0,64.0
variant_18545,42.0,0.0,0.0,0.0,0.0,0.0
variant_18546,146.0,25.0,3.0,5.0,6.0,5.0
variant_18547,1159.0,303.0,169.0,381.0,504.0,264.0
variant_18548,320.0,86.0,28.0,52.0,18.0,3.0
variant_18549,168.0,7.0,0.0,0.0,0.0,0.0
variant_18550,10.0,0.0,0.0,0.0,0.0,0.0
variant_18551,235.0,75.0,55.0,112.0,112.0,48.0
variant_18552,174.0,2.0,0.0,0.0,0.0,0.0
variant_18553,420.0,142.0,76.0,157.0,205.0,146.0
variant_18554,446.0,48.0,12.0,33.0,18.0,12.0
variant_18555,473.0,201.0,144.0,173.0,383.0,123.0
variant_18556,202.0,5.0,0.0,0.0,0.0,0.0
variant_18557,369.0,39.0,10.0,24.0,7.0,3.0
variant_18558,397.0,94.0,65.0,173.0,172.0,79.0
variant_18559,138.0,3.0,0.0,0.0,0.0,0.0
variant_18560,728.0,88.0,18.0,28.0,38.0,13.0
variant_18561,515.0,141.0,87.0,267.0,429.0,258.0
variant_18562,771.0,472.0,316.0,588.0,863.0,460.0
variant_18563,1253.0,216.0,70.0,195.0,192.0,67.0
variant_18564,1140.0,297.0,151.0,269.0,469.0,168.0
variant_18565,427.0,118.0,84.0,105.0,97.0,42.0
variant_18566,897.0,221.0,104.0,162.0,197.0,104.0
variant_18567,650.0,235.0,238.0,471.0,854.0,597.0
variant_18568,1085.0,241.0,100.0,178.0,215.0,90.0
variant_18569,369.0,45.0,29.0,82.0,115.0,56.0
variant_18570,126.0,60.0,10.0,27.0,24.0,15.0
variant_18571,169.0,10.0,0.0,0.0,0.0,0.0
variant_18572,626.0,42.0,3.0,6.0,0.0,0.0
variant_18573,702.0,45.0,3.0,0.0,0.0,1.0
variant_18574,859.0,115.0,90.0,99.0,109.0,21.0
variant_18575,115.0,3.0,0.0,0.0,0.0,0.0
variant_18576,1188.0,206.0,101.0,224.0,264.0,103.0
variant_18577,1209.0,343.0,180.0,260.0,371.0,161.0
variant_18578,804.0,227.0,123.0,201.0,217.0,89.0
variant_18579,715.0,48.0,4.0,0.0,0.0,0.0
variant_18580,112.0,32.0,13.0,41.0,29.0,19.0
variant_18581,648.0,281.0,264.0,426.0,689.0,303.0
variant_18582,1244.0,218.0,120.0,184.0,240.0,131.0
variant_18583,1834.0,286.0,124.0,212.0,269.0,76.0
variant_18584,23.0,0.0,0.0,0.0,0.0,0.0
variant_18585,313.0,107.0,36.0,57.0,99.0,44.0
variant_18586,63.0,0.0,0.0,0.0,0.0,0.0
variant_18587,268.0,69.0,43.0,59.0,80.0,27.0
variant_18588,5.0,0.0,0.0,0.0,0.0,0.0
variant_18589,107.0,14.0,3.0,1.0,1.0,0.0
variant_18590,67.0,0.0,0.0,0.0,0.0,0.0
variant_18591,87.0,3.0,0.0,0.0,0.0,0.0
variant_18592,466.0,52.0,25.0,56.0,70.0,39.0
variant_18593,1683.0,384.0,291.0,584.0,667.0,331.0
variant_18594,74.0,0.0,0.0,0.0,0.0,0.0
variant_18595,902.0,496.0,305.0,882.0,1541.0,1250.0
variant_18596,241.0,14.0,0.0,0.0,0.0,0.0
variant_18597,973.0,169.0,88.0,155.0,170.0,45.0
variant_18598,2362.0,454.0,265.0,398.0,542.0,198.0
variant_18599,151.0,5.0,7.0,6.0,1.0,0.0
variant_18600,179.0,3.0,0.0,0.0,0.0,0.0
variant_18601,46.0,1.0,0.0,0.0,0.0,0.0
variant_18602,69.0,2.0,0.0,0.0,0.0,0.0
variant_18603,331.0,57.0,8.0,32.0,40.0,20.0
variant_18604,272.0,31.0,17.0,11.0,25.0,6.0
variant_18605,785.0,154.0,78.0,130.0,83.0,74.0
variant_18606,73.0,6.0,0.0,0.0,0.0,0.0
variant_18607,126.0,10.0,3.0,5.0,12.0,5.0
variant_18608,51.0,7.0,0.0,0.0,0.0,0.0
variant_18609,4.0,0.0,0.0,0.0,0.0,0.0
variant_18610,362.0,71.0,53.0,96.0,86.0,37.0
variant_18611,190.0,26.0,32.0,49.0,46.0,19.0
variant_18612,1451.0,750.0,580.0,1562.0,2232.0,1365.0
variant_18613,439.0,63.0,41.0,91.0,124.0,53.0
variant_18614,1756.0,180.0,80.0,124.0,98.0,94.0
variant_18615,60.0,3.0,0.0,0.0,0.0,0.0
variant_18616,160.0,54.0,11.0,39.0,55.0,12.0
variant_18617,15.0,0.0,0.0,0.0,0.0,0.0
variant_18618,198.0,6.0,6.0,4.0,1.0,1.0
variant_18619,213.0,53.0,20.0,10.0,23.0,6.0
variant_18620,17.0,0.0,0.0,0.0,0.0,0.0
variant_18621,149.0,8.0,0.0,6.0,2.0,0.0
variant_18622,412.0,57.0,24.0,30.0,38.0,22.0
variant_18623,66.0,3.0,0.0,0.0,0.0,0.0
variant_18624,1361.0,425.0,264.0,397.0,550.0,157.0
variant_18625,1266.0,281.0,151.0,305.0,295.0,112.0
variant_18626,578.0,160.0,100.0,184.0,269.0,79.0
variant_18627,417.0,60.0,31.0,22.0,24.0,8.0
variant_18628,1645.0,655.0,526.0,1205.0,1768.0,1074.0
variant_18629,547.0,89.0,109.0,237.0,251.0,146.0
variant_18630,144.0,24.0,2.0,0.0,0.0,0.0
variant_18631,60.0,0.0,0.0,0.0,0.0,0.0
variant_18632,2668.0,896.0,496.0,814.0,1042.0,451.0
variant_18633,965.0,214.0,78.0,133.0,183.0,63.0
variant_18634,99.0,8.0,0.0,0.0,0.0,0.0
variant_18635,1682.0,801.0,538.0,1357.0,1929.0,1155.0
variant_18636,76.0,1.0,0.0,0.0,0.0,0.0
variant_18637,90.0,6.0,1.0,7.0,16.0,4.0
variant_18638,50.0,0.0,0.0,0.0,0.0,0.0
variant_18639,429.0,363.0,426.0,1265.0,3004.0,2299.0
variant_18640,76.0,0.0,0.0,0.0,0.0,0.0
variant_18641,2826.0,719.0,466.0,805.0,1071.0,443.0
variant_18642,90.0,9.0,3.0,0.0,0.0,0.0
variant_18643,810.0,198.0,56.0,92.0,116.0,45.0
variant_18644,32.0,1.0,0.0,0.0,0.0,0.0
variant_18645,1505.0,331.0,192.0,432.0,530.0,218.0
variant_18646,144.0,24.0,16.0,27.0,20.0,11.0
variant_18647,601.0,88.0,51.0,131.0,92.0,51.0
variant_18648,746.0,104.0,37.0,58.0,58.0,20.0
variant_18649,314.0,63.0,36.0,60.0,60.0,34.0
variant_18650,185.0,21.0,2.0,0.0,0.0,0.0
variant_18651,307.0,76.0,24.0,63.0,51.0,20.0
variant_18652,427.0,145.0,36.0,57.0,73.0,30.0
variant_18653,700.0,75.0,40.0,115.0,102.0,24.0
variant_18654,353.0,29.0,9.0,23.0,20.0,19.0
variant_18655,1073.0,324.0,236.0,574.0,818.0,580.0
variant_18656,848.0,464.0,368.0,941.0,1561.0,868.0
variant_18657,401.0,72.0,30.0,87.0,102.0,47.0
variant_18658,1065.0,558.0,533.0,876.0,1436.0,557.0
variant_18659,121.0,21.0,16.0,36.0,47.0,16.0
variant_18660,2088.0,734.0,547.0,1026.0,1620.0,844.0
variant_18661,124.0,15.0,5.0,15.0,5.0,6.0
variant_18662,179.0,29.0,11.0,7.0,6.0,3.0
variant_18663,219.0,2.0,0.0,0.0,0.0,0.0
variant_18664,193.0,7.0,0.0,0.0,0.0,0.0
variant_18665,1904.0,909.0,922.0,2789.0,4631.0,3594.0
variant_18666,1807.0,611.0,522.0,1147.0,1803.0,1010.0
variant_18667,792.0,155.0,69.0,99.0,101.0,30.0
variant_18668,83.0,1.0,1.0,0.0,0.0,0.0
variant_18669,602.0,223.0,176.0,411.0,598.0,357.0
variant_18670,303.0,38.0,13.0,20.0,9.0,4.0
variant_18671,1727.0,517.0,311.0,522.0,672.0,358.0
variant_18672,1680.0,289.0,144.0,287.0,211.0,59.0
variant_18673,75.0,0.0,0.0,0.0,0.0,0.0
variant_18674,267.0,87.0,37.0,74.0,74.0,46.0
variant_18675,717.0,44.0,10.0,7.0,8.0,8.0
variant_18676,280.0,20.0,6.0,16.0,0.0,0.0
variant_18677,79.0,4.0,0.0,0.0,0.0,0.0
variant_18678,1063.0,168.0,105.0,247.0,230.0,93.0
variant_18679,3599.0,867.0,551.0,928.0,1050.0,347.0
variant_18680,3062.0,764.0,480.0,1041.0,1298.0,683.0
variant_18681,197.0,29.0,13.0,26.0,60.0,70.0
variant_18682,603.0,49.0,25.0,33.0,48.0,5.0
variant_18683,2873.0,359.0,131.0,235.0,198.0,64.0
variant_18684,475.0,29.0,12.0,11.0,13.0,8.0
variant_18685,1134.0,309.0,213.0,412.0,627.0,440.0
variant_18686,1080.0,168.0,103.0,242.0,294.0,200.0
variant_18687,401.0,64.0,17.0,17.0,8.0,20.0
variant_18688,531.0,41.0,17.0,8.0,6.0,0.0
variant_18689,498.0,94.0,24.0,34.0,45.0,24.0
variant_18690,12.0,0.0,0.0,0.0,0.0,0.0
variant_18691,4187.0,637.0,231.0,345.0,321.0,90.0
variant_18692,1139.0,153.0,35.0,39.0,33.0,10.0
variant_18693,854.0,91.0,21.0,31.0,18.0,5.0
variant_18694,210.0,6.0,2.0,0.0,0.0,0.0
variant_18695,136.0,4.0,0.0,0.0,0.0,0.0
variant_18696,42.0,2.0,0.0,0.0,0.0,0.0
variant_18697,144.0,9.0,5.0,1.0,0.0,0.0
variant_18698,32.0,0.0,0.0,0.0,0.0,0.0
variant_18699,91.0,0.0,0.0,0.0,0.0,0.0
variant_18700,190.0,5.0,0.0,0.0,0.0,0.0
variant_18701,104.0,0.0,0.0,0.0,0.0,0.0
variant_18702,468.0,65.0,42.0,78.0,38.0,11.0
variant_18703,389.0,50.0,9.0,6.0,8.0,1.0
variant_18704,219.0,1.0,0.0,0.0,0.0,0.0
variant_18705,71.0,1.0,0.0,0.0,0.0,0.0
variant_18706,101.0,2.0,0.0,0.0,0.0,0.0
variant_18707,110.0,3.0,0.0,0.0,0.0,0.0
variant_18708,231.0,45.0,4.0,0.0,0.0,0.0
variant_18709,132.0,1.0,0.0,0.0,0.0,0.0
variant_18710,71.0,5.0,0.0,0.0,0.0,0.0
variant_18711,520.0,113.0,53.0,21.0,9.0,0.0
variant_18712,66.0,5.0,0.0,0.0,0.0,0.0
variant_18713,201.0,11.0,1.0,0.0,0.0,0.0
variant_18714,83.0,10.0,1.0,0.0,0.0,0.0
variant_18715,135.0,49.0,24.0,64.0,42.0,13.0
variant_18716,111.0,16.0,1.0,4.0,2.0,0.0
variant_18717,212.0,1.0,1.0,0.0,0.0,0.0
variant_18718,375.0,131.0,35.0,63.0,40.0,2.0
variant_18719,1535.0,396.0,104.0,188.0,127.0,43.0
variant_18720,42.0,0.0,0.0,0.0,0.0,0.0
variant_18721,744.0,228.0,191.0,660.0,1136.0,652.0
variant_18722,12.0,0.0,0.0,0.0,0.0,0.0
variant_18723,1664.0,279.0,185.0,460.0,640.0,346.0
variant_18724,1062.0,613.0,591.0,1298.0,2303.0,1296.0
variant_18725,544.0,80.0,26.0,66.0,87.0,54.0
variant_18726,119.0,15.0,8.0,0.0,3.0,4.0
variant_18727,177.0,34.0,19.0,22.0,66.0,20.0
variant_18728,649.0,169.0,81.0,135.0,212.0,51.0
variant_18729,15.0,0.0,0.0,0.0,0.0,0.0
variant_18730,30.0,1.0,0.0,0.0,0.0,0.0
variant_18731,1206.0,277.0,141.0,350.0,583.0,306.0
variant_18732,82.0,0.0,0.0,0.0,0.0,0.0
variant_18733,1049.0,181.0,46.0,84.0,65.0,37.0
variant_18734,193.0,51.0,9.0,3.0,2.0,0.0
variant_18735,2445.0,631.0,435.0,1043.0,1552.0,998.0
variant_18736,63.0,18.0,3.0,0.0,0.0,0.0
variant_18737,246.0,2.0,1.0,4.0,4.0,2.0
variant_18738,267.0,55.0,44.0,51.0,78.0,65.0
variant_18739,904.0,207.0,120.0,176.0,253.0,65.0
variant_18740,691.0,66.0,4.0,11.0,9.0,19.0
variant_18741,127.0,42.0,9.0,22.0,24.0,8.0
variant_18742,568.0,70.0,9.0,55.0,31.0,5.0
variant_18743,298.0,23.0,4.0,0.0,0.0,0.0
variant_18744,158.0,31.0,1.0,0.0,0.0,0.0
variant_18745,264.0,16.0,2.0,0.0,0.0,0.0
variant_18746,191.0,20.0,2.0,3.0,2.0,0.0
variant_18747,159.0,6.0,0.0,0.0,0.0,0.0
variant_18748,235.0,11.0,0.0,1.0,2.0,0.0
variant_18749,64.0,1.0,0.0,0.0,0.0,0.0
variant_18750,191.0,5.0,0.0,0.0,0.0,0.0
variant_18751,1167.0,208.0,82.0,157.0,178.0,116.0
variant_18752,343.0,144.0,69.0,186.0,204.0,96.0
variant_18753,108.0,7.0,0.0,0.0,0.0,0.0
variant_18754,249.0,51.0,21.0,31.0,28.0,11.0
variant_18755,905.0,79.0,31.0,55.0,84.0,75.0
variant_18756,89.0,0.0,0.0,0.0,0.0,0.0
variant_18757,567.0,257.0,217.0,395.0,612.0,388.0
variant_18758,18.0,1.0,0.0,0.0,0.0,0.0
variant_18759,34.0,0.0,0.0,0.0,0.0,0.0
variant_18760,236.0,70.0,40.0,86.0,67.0,15.0
