,c_0,c_18,c_37,c_45
variant_11294,436.0,63.0,187.0,154.0
variant_11295,309.0,61.0,23.0,14.0
variant_11296,53.0,21.0,0.0,0.0
variant_11297,97.0,7.0,8.0,10.0
variant_11298,257.0,98.0,195.0,179.0
variant_11299,326.0,94.0,300.0,260.0
variant_11300,359.0,33.0,1.0,0.0
variant_11301,361.0,18.0,2.0,0.0
variant_11302,1440.0,266.0,208.0,196.0
variant_11303,1411.0,253.0,390.0,333.0
variant_11304,684.0,102.0,58.0,32.0
variant_11305,4327.0,559.0,812.0,516.0
variant_11306,830.0,78.0,53.0,74.0
variant_11307,408.0,27.0,13.0,8.0
variant_11308,2644.0,453.0,576.0,511.0
variant_11309,889.0,269.0,271.0,221.0
variant_11310,1840.0,214.0,305.0,189.0
variant_11311,2790.0,480.0,627.0,341.0
variant_11312,653.0,91.0,120.0,128.0
variant_11313,186.0,39.0,46.0,23.0
variant_11314,1015.0,92.0,115.0,57.0
variant_11315,1728.0,277.0,315.0,240.0
variant_11316,302.0,27.0,16.0,22.0
variant_11317,534.0,45.0,9.0,5.0
variant_11318,3213.0,444.0,528.0,354.0
variant_11319,1839.0,272.0,136.0,200.0
variant_11320,1736.0,302.0,299.0,343.0
variant_11321,4065.0,530.0,487.0,341.0
variant_11322,272.0,47.0,125.0,230.0
variant_11323,2013.0,332.0,426.0,387.0
variant_11324,233.0,24.0,7.0,27.0
variant_11325,108.0,45.0,26.0,11.0
variant_11326,2044.0,448.0,471.0,389.0
variant_11327,65.0,19.0,27.0,27.0
variant_11328,340.0,85.0,186.0,134.0
variant_11329,157.0,14.0,5.0,0.0
variant_11330,3312.0,487.0,339.0,204.0
variant_11331,331.0,25.0,8.0,7.0
variant_11332,824.0,77.0,22.0,21.0
variant_11333,495.0,31.0,36.0,6.0
variant_11334,1082.0,160.0,144.0,103.0
variant_11335,393.0,66.0,3.0,56.0
variant_11336,587.0,56.0,30.0,5.0
variant_11337,231.0,11.0,0.0,1.0
variant_11338,981.0,81.0,22.0,15.0
variant_11339,208.0,47.0,40.0,45.0
variant_11340,1333.0,311.0,258.0,260.0
variant_11341,662.0,47.0,28.0,2.0
variant_11342,128.0,34.0,12.0,39.0
variant_11343,362.0,49.0,144.0,141.0
variant_11344,25.0,0.0,0.0,0.0
variant_11345,3231.0,498.0,512.0,524.0
variant_11346,1127.0,120.0,133.0,104.0
variant_11347,229.0,33.0,0.0,6.0
variant_11348,2185.0,501.0,435.0,431.0
variant_11349,1625.0,254.0,254.0,249.0
variant_11350,2029.0,380.0,419.0,344.0
variant_11351,113.0,12.0,3.0,0.0
variant_11352,395.0,23.0,29.0,31.0
variant_11353,624.0,140.0,298.0,245.0
variant_11354,856.0,128.0,96.0,65.0
variant_11355,1036.0,141.0,87.0,112.0
variant_11356,2197.0,410.0,436.0,371.0
variant_11357,831.0,69.0,47.0,27.0
variant_11358,1358.0,111.0,202.0,108.0
variant_11359,1004.0,216.0,207.0,118.0
variant_11360,52.0,0.0,0.0,0.0
variant_11361,1158.0,194.0,210.0,222.0
variant_11362,1329.0,330.0,593.0,413.0
variant_11363,554.0,51.0,123.0,105.0
variant_11364,198.0,6.0,0.0,2.0
variant_11365,724.0,160.0,266.0,253.0
variant_11366,2178.0,248.0,293.0,215.0
variant_11367,136.0,37.0,14.0,36.0
variant_11368,2112.0,375.0,394.0,172.0
variant_11369,680.0,85.0,51.0,59.0
variant_11370,764.0,58.0,65.0,50.0
variant_11371,776.0,111.0,150.0,115.0
variant_11372,904.0,136.0,184.0,207.0
variant_11373,15.0,3.0,0.0,0.0
variant_11374,218.0,48.0,9.0,9.0
variant_11375,347.0,22.0,31.0,34.0
variant_11376,7577.0,1319.0,1274.0,1016.0
variant_11377,2709.0,364.0,249.0,185.0
variant_11378,346.0,56.0,13.0,0.0
variant_11379,281.0,30.0,35.0,37.0
variant_11380,1220.0,108.0,68.0,74.0
variant_11381,1066.0,339.0,566.0,412.0
variant_11382,396.0,97.0,226.0,363.0
variant_11383,896.0,175.0,196.0,167.0
variant_11384,91.0,0.0,0.0,0.0
variant_11385,168.0,6.0,0.0,8.0
variant_11386,5232.0,855.0,1154.0,851.0
variant_11387,1937.0,158.0,127.0,106.0
variant_11388,134.0,14.0,0.0,5.0
variant_11389,901.0,160.0,295.0,181.0
variant_11390,385.0,14.0,0.0,5.0
variant_11391,1725.0,243.0,350.0,236.0
variant_11392,637.0,108.0,260.0,85.0
variant_11393,43.0,18.0,30.0,43.0
variant_11394,165.0,16.0,2.0,2.0
variant_11395,3362.0,499.0,712.0,431.0
variant_11396,323.0,15.0,16.0,2.0
variant_11397,1949.0,285.0,315.0,155.0
variant_11398,162.0,6.0,4.0,0.0
variant_11399,426.0,42.0,27.0,5.0
variant_11400,317.0,34.0,3.0,2.0
variant_11401,2273.0,306.0,281.0,199.0
variant_11402,1465.0,288.0,185.0,203.0
variant_11403,377.0,29.0,12.0,2.0
variant_11404,510.0,13.0,0.0,0.0
variant_11405,4430.0,1074.0,1692.0,1785.0
variant_11406,738.0,156.0,423.0,372.0
variant_11407,915.0,164.0,248.0,313.0
variant_11408,371.0,123.0,160.0,182.0
variant_11409,120.0,23.0,7.0,2.0
variant_11410,1020.0,89.0,35.0,12.0
variant_11411,198.0,23.0,3.0,3.0
variant_11412,353.0,53.0,58.0,16.0
variant_11413,53.0,30.0,0.0,1.0
variant_11414,933.0,195.0,216.0,190.0
variant_11415,464.0,28.0,11.0,3.0
variant_11416,524.0,73.0,60.0,63.0
variant_11417,99.0,10.0,0.0,0.0
variant_11418,537.0,35.0,17.0,8.0
variant_11419,3681.0,575.0,606.0,476.0
variant_11420,0.0,3.0,0.0,0.0
variant_11421,84.0,4.0,0.0,0.0
variant_11422,246.0,25.0,11.0,27.0
variant_11423,61.0,36.0,53.0,93.0
variant_11424,72.0,0.0,9.0,2.0
variant_11425,711.0,114.0,52.0,151.0
variant_11426,630.0,40.0,7.0,15.0
variant_11427,44.0,0.0,0.0,0.0
variant_11428,360.0,46.0,62.0,96.0
variant_11429,1439.0,219.0,294.0,253.0
variant_11430,316.0,65.0,21.0,19.0
variant_11431,2054.0,357.0,441.0,349.0
variant_11432,159.0,11.0,6.0,3.0
variant_11433,2760.0,512.0,431.0,416.0
variant_11434,4725.0,1099.0,1612.0,1251.0
variant_11435,1840.0,202.0,291.0,234.0
variant_11436,1533.0,228.0,237.0,196.0
variant_11437,6674.0,791.0,587.0,630.0
variant_11438,2281.0,305.0,234.0,222.0
variant_11439,1436.0,156.0,224.0,97.0
variant_11440,749.0,156.0,136.0,149.0
variant_11441,114.0,20.0,13.0,0.0
variant_11442,3089.0,417.0,346.0,290.0
variant_11443,338.0,59.0,62.0,23.0
variant_11444,394.0,23.0,8.0,2.0
variant_11445,569.0,104.0,100.0,129.0
variant_11446,1922.0,163.0,129.0,58.0
variant_11447,177.0,21.0,4.0,2.0
variant_11448,3296.0,497.0,391.0,232.0
variant_11449,916.0,129.0,221.0,181.0
variant_11450,1636.0,296.0,214.0,198.0
variant_11451,361.0,56.0,35.0,14.0
variant_11452,483.0,168.0,203.0,185.0
variant_11453,229.0,28.0,43.0,62.0
variant_11454,386.0,52.0,13.0,2.0
variant_11455,3275.0,543.0,643.0,491.0
variant_11456,1368.0,412.0,606.0,632.0
variant_11457,500.0,73.0,84.0,38.0
variant_11458,198.0,6.0,4.0,6.0
variant_11459,322.0,111.0,95.0,58.0
variant_11460,319.0,51.0,14.0,32.0
variant_11461,64.0,16.0,26.0,28.0
variant_11462,1033.0,105.0,88.0,132.0
variant_11463,116.0,17.0,18.0,0.0
variant_11464,179.0,27.0,5.0,10.0
variant_11465,23.0,4.0,0.0,0.0
variant_11466,1337.0,376.0,504.0,361.0
variant_11467,193.0,22.0,36.0,15.0
variant_11468,534.0,123.0,185.0,131.0
variant_11469,204.0,88.0,97.0,102.0
variant_11470,162.0,13.0,8.0,2.0
variant_11471,201.0,36.0,17.0,4.0
variant_11472,70.0,2.0,1.0,3.0
variant_11473,216.0,20.0,16.0,0.0
variant_11474,634.0,90.0,25.0,10.0
variant_11475,764.0,110.0,169.0,161.0
variant_11476,420.0,38.0,20.0,7.0
variant_11477,1971.0,290.0,392.0,335.0
variant_11478,691.0,94.0,95.0,76.0
variant_11479,330.0,57.0,85.0,35.0
variant_11480,1266.0,216.0,251.0,208.0
variant_11481,341.0,22.0,82.0,35.0
variant_11482,648.0,204.0,280.0,352.0
variant_11483,238.0,34.0,21.0,13.0
variant_11484,233.0,19.0,19.0,8.0
variant_11485,468.0,125.0,126.0,185.0
variant_11486,496.0,63.0,70.0,16.0
variant_11487,359.0,21.0,33.0,21.0
variant_11488,809.0,66.0,78.0,65.0
variant_11489,1912.0,343.0,493.0,429.0
variant_11490,144.0,21.0,73.0,42.0
variant_11491,254.0,1.0,1.0,3.0
variant_11492,394.0,127.0,197.0,181.0
variant_11493,128.0,25.0,42.0,85.0
variant_11494,192.0,21.0,25.0,55.0
variant_11495,98.0,0.0,0.0,5.0
variant_11496,49.0,0.0,0.0,0.0
variant_11497,273.0,4.0,8.0,3.0
variant_11498,89.0,11.0,0.0,2.0
variant_11499,188.0,39.0,28.0,42.0
variant_11500,419.0,88.0,96.0,122.0
variant_11501,362.0,28.0,38.0,32.0
variant_11502,195.0,11.0,0.0,14.0
variant_11503,570.0,177.0,260.0,166.0
variant_11504,126.0,1.0,0.0,0.0
variant_11505,168.0,27.0,0.0,0.0
variant_11506,384.0,44.0,21.0,0.0
variant_11507,183.0,23.0,15.0,14.0
variant_11508,1454.0,217.0,280.0,224.0
variant_11509,256.0,23.0,0.0,0.0
variant_11510,169.0,29.0,0.0,19.0
variant_11511,30.0,0.0,0.0,0.0
variant_11512,625.0,121.0,128.0,106.0
variant_11513,1469.0,336.0,296.0,227.0
variant_11514,673.0,119.0,90.0,59.0
variant_11515,258.0,52.0,98.0,80.0
variant_11516,573.0,29.0,7.0,29.0
variant_11517,16.0,0.0,0.0,0.0
variant_11518,424.0,29.0,19.0,3.0
variant_11519,381.0,27.0,8.0,9.0
variant_11520,637.0,8.0,0.0,7.0
variant_11521,240.0,62.0,100.0,94.0
variant_11522,113.0,13.0,1.0,1.0
variant_11523,173.0,37.0,21.0,25.0
variant_11524,453.0,42.0,72.0,78.0
variant_11525,1332.0,155.0,109.0,116.0
variant_11526,117.0,0.0,0.0,0.0
variant_11527,577.0,69.0,76.0,92.0
variant_11528,106.0,16.0,4.0,0.0
variant_11529,71.0,8.0,2.0,0.0
variant_11530,165.0,38.0,17.0,23.0
variant_11531,643.0,51.0,44.0,3.0
variant_11532,388.0,88.0,107.0,43.0
variant_11533,2392.0,478.0,770.0,506.0
variant_11534,163.0,9.0,11.0,0.0
variant_11535,457.0,80.0,22.0,50.0
variant_11536,133.0,11.0,24.0,9.0
variant_11537,548.0,60.0,61.0,10.0
variant_11538,1540.0,266.0,290.0,313.0
variant_11539,394.0,58.0,29.0,10.0
variant_11540,280.0,18.0,9.0,9.0
variant_11541,472.0,102.0,132.0,90.0
variant_11542,184.0,18.0,6.0,2.0
variant_11543,2600.0,390.0,386.0,358.0
variant_11544,699.0,236.0,376.0,203.0
variant_11545,25.0,0.0,0.0,0.0
variant_11546,401.0,56.0,39.0,40.0
variant_11547,623.0,33.0,17.0,4.0
variant_11548,695.0,95.0,49.0,18.0
variant_11549,410.0,87.0,94.0,119.0
variant_11550,87.0,11.0,1.0,0.0
variant_11551,314.0,17.0,0.0,2.0
variant_11552,1146.0,103.0,71.0,115.0
variant_11553,78.0,7.0,9.0,6.0
variant_11554,96.0,19.0,12.0,3.0
variant_11555,260.0,34.0,8.0,6.0
variant_11556,425.0,12.0,31.0,15.0
variant_11557,18.0,0.0,0.0,0.0
variant_11558,145.0,31.0,9.0,6.0
variant_11559,73.0,0.0,0.0,0.0
variant_11560,48.0,0.0,0.0,0.0
variant_11561,602.0,69.0,9.0,16.0
variant_11562,1086.0,224.0,356.0,242.0
variant_11563,49.0,20.0,32.0,58.0
variant_11564,272.0,50.0,65.0,26.0
variant_11565,439.0,10.0,5.0,3.0
variant_11566,328.0,31.0,26.0,34.0
variant_11567,213.0,5.0,0.0,1.0
variant_11568,550.0,97.0,106.0,62.0
variant_11569,78.0,4.0,0.0,4.0
variant_11570,262.0,15.0,5.0,0.0
variant_11571,257.0,6.0,13.0,0.0
variant_11572,209.0,19.0,59.0,6.0
variant_11573,229.0,65.0,0.0,7.0
variant_11574,261.0,43.0,13.0,14.0
variant_11575,439.0,47.0,18.0,40.0
variant_11576,868.0,123.0,176.0,125.0
variant_11577,68.0,1.0,1.0,1.0
variant_11578,572.0,29.0,37.0,29.0
variant_11579,458.0,67.0,104.0,109.0
variant_11580,163.0,18.0,0.0,0.0
variant_11581,232.0,34.0,20.0,21.0
variant_11582,498.0,64.0,120.0,76.0
variant_11583,847.0,90.0,109.0,58.0
variant_11584,183.0,16.0,8.0,0.0
variant_11585,125.0,8.0,5.0,0.0
variant_11586,117.0,5.0,5.0,9.0
variant_11587,1172.0,147.0,84.0,129.0
variant_11588,71.0,0.0,0.0,0.0
variant_11589,417.0,38.0,91.0,67.0
variant_11590,277.0,23.0,5.0,6.0
variant_11591,346.0,78.0,128.0,78.0
variant_11592,48.0,8.0,16.0,12.0
variant_11593,364.0,69.0,82.0,63.0
variant_11594,898.0,187.0,234.0,168.0
variant_11595,249.0,49.0,55.0,54.0
variant_11596,505.0,213.0,430.0,459.0
variant_11597,316.0,28.0,64.0,50.0
variant_11598,5183.0,928.0,1259.0,888.0
variant_11599,2260.0,437.0,543.0,518.0
variant_11600,107.0,7.0,0.0,0.0
variant_11601,476.0,44.0,60.0,13.0
variant_11602,129.0,9.0,3.0,1.0
variant_11603,105.0,31.0,0.0,14.0
variant_11604,195.0,0.0,0.0,0.0
variant_11605,1064.0,221.0,352.0,291.0
variant_11606,11.0,1.0,9.0,0.0
variant_11607,208.0,55.0,38.0,23.0
variant_11608,708.0,105.0,65.0,111.0
variant_11609,1373.0,130.0,105.0,102.0
variant_11610,33.0,1.0,0.0,0.0
variant_11611,267.0,18.0,67.0,127.0
variant_11612,1317.0,288.0,252.0,184.0
variant_11613,660.0,130.0,133.0,106.0
variant_11614,6.0,0.0,0.0,0.0
variant_11615,915.0,236.0,246.0,253.0
variant_11616,337.0,26.0,4.0,1.0
variant_11617,194.0,5.0,7.0,2.0
variant_11618,586.0,87.0,90.0,51.0
variant_11619,1681.0,270.0,351.0,263.0
variant_11620,85.0,9.0,6.0,0.0
variant_11621,356.0,49.0,88.0,60.0
variant_11622,268.0,19.0,20.0,40.0
variant_11623,5628.0,679.0,808.0,589.0
variant_11624,410.0,71.0,87.0,117.0
variant_11625,306.0,39.0,8.0,15.0
variant_11626,366.0,133.0,153.0,187.0
variant_11627,618.0,100.0,131.0,125.0
variant_11628,453.0,27.0,21.0,15.0
variant_11629,221.0,11.0,0.0,0.0
variant_11630,215.0,34.0,26.0,1.0
variant_11631,794.0,133.0,165.0,136.0
variant_11632,395.0,54.0,85.0,66.0
variant_11633,732.0,90.0,78.0,59.0
variant_11634,28.0,7.0,0.0,4.0
variant_11635,112.0,9.0,44.0,20.0
variant_11636,742.0,98.0,263.0,169.0
variant_11637,268.0,67.0,3.0,4.0
variant_11638,161.0,9.0,2.0,7.0
variant_11639,825.0,137.0,131.0,154.0
variant_11640,333.0,29.0,14.0,11.0
variant_11641,1353.0,184.0,211.0,193.0
variant_11642,183.0,32.0,64.0,20.0
variant_11643,295.0,57.0,79.0,5.0
variant_11644,425.0,41.0,119.0,58.0
variant_11645,1297.0,382.0,776.0,483.0
variant_11646,447.0,131.0,165.0,155.0
variant_11647,1220.0,120.0,73.0,72.0
variant_11648,1545.0,252.0,315.0,227.0
variant_11649,789.0,95.0,103.0,101.0
variant_11650,822.0,95.0,160.0,92.0
variant_11651,241.0,18.0,17.0,11.0
variant_11652,152.0,38.0,0.0,3.0
variant_11653,657.0,64.0,116.0,91.0
variant_11654,179.0,45.0,54.0,37.0
variant_11655,633.0,197.0,180.0,197.0
variant_11656,440.0,112.0,66.0,19.0
variant_11657,219.0,25.0,18.0,1.0
variant_11658,116.0,39.0,17.0,1.0
variant_11659,419.0,120.0,142.0,51.0
variant_11660,405.0,15.0,11.0,13.0
variant_11661,755.0,111.0,103.0,94.0
variant_11662,38.0,14.0,13.0,7.0
variant_11663,185.0,19.0,0.0,0.0
variant_11664,6.0,0.0,0.0,0.0
variant_11665,178.0,28.0,5.0,6.0
variant_11666,968.0,134.0,209.0,161.0
variant_11667,364.0,31.0,57.0,33.0
variant_11668,695.0,45.0,80.0,123.0
variant_11669,718.0,110.0,169.0,115.0
variant_11670,1366.0,141.0,269.0,150.0
variant_11671,484.0,92.0,125.0,40.0
variant_11672,1109.0,138.0,160.0,158.0
variant_11673,1905.0,426.0,432.0,356.0
variant_11674,1093.0,206.0,174.0,83.0
variant_11675,1441.0,459.0,796.0,962.0
variant_11676,658.0,141.0,278.0,267.0
variant_11677,1082.0,400.0,692.0,608.0
variant_11678,72.0,6.0,0.0,0.0
variant_11679,853.0,187.0,288.0,295.0
variant_11680,3230.0,535.0,840.0,575.0
variant_11681,931.0,90.0,121.0,58.0
variant_11682,299.0,57.0,41.0,44.0
variant_11683,196.0,22.0,34.0,92.0
variant_11684,199.0,22.0,2.0,2.0
variant_11685,795.0,205.0,208.0,126.0
variant_11686,104.0,21.0,3.0,11.0
variant_11687,506.0,29.0,23.0,25.0
variant_11688,495.0,187.0,163.0,106.0
variant_11689,1268.0,260.0,537.0,570.0
variant_11690,350.0,10.0,4.0,1.0
variant_11691,346.0,27.0,58.0,32.0
variant_11692,771.0,84.0,195.0,164.0
variant_11693,1003.0,97.0,113.0,126.0
variant_11694,510.0,55.0,36.0,17.0
variant_11695,704.0,68.0,47.0,19.0
variant_11696,15.0,0.0,0.0,0.0
variant_11697,771.0,177.0,140.0,231.0
variant_11698,36.0,8.0,2.0,6.0
variant_11699,950.0,217.0,327.0,252.0
variant_11700,405.0,136.0,179.0,119.0
variant_11701,877.0,120.0,77.0,57.0
variant_11702,561.0,101.0,116.0,86.0
variant_11703,1040.0,139.0,61.0,43.0
variant_11704,1016.0,206.0,193.0,190.0
variant_11705,2141.0,315.0,391.0,331.0
variant_11706,1676.0,229.0,212.0,191.0
variant_11707,167.0,15.0,0.0,0.0
variant_11708,1353.0,312.0,229.0,245.0
variant_11709,456.0,59.0,7.0,46.0
variant_11710,832.0,92.0,116.0,91.0
variant_11711,316.0,32.0,13.0,7.0
variant_11712,510.0,100.0,124.0,168.0
variant_11713,103.0,45.0,7.0,12.0
variant_11714,108.0,28.0,9.0,5.0
variant_11715,1724.0,250.0,214.0,156.0
variant_11716,425.0,94.0,107.0,99.0
variant_11717,1231.0,217.0,371.0,304.0
variant_11718,548.0,154.0,188.0,136.0
variant_11719,2980.0,666.0,857.0,879.0
variant_11720,2376.0,391.0,593.0,419.0
variant_11721,589.0,63.0,46.0,56.0
variant_11722,59.0,4.0,7.0,4.0
variant_11723,2309.0,285.0,324.0,278.0
variant_11724,545.0,110.0,69.0,50.0
variant_11725,195.0,50.0,55.0,80.0
variant_11726,349.0,43.0,69.0,50.0
variant_11727,1337.0,203.0,234.0,150.0
variant_11728,196.0,28.0,16.0,23.0
variant_11729,368.0,95.0,91.0,52.0
variant_11730,210.0,10.0,0.0,15.0
variant_11731,305.0,25.0,15.0,0.0
variant_11732,285.0,24.0,14.0,7.0
variant_11733,56.0,17.0,20.0,3.0
variant_11734,2513.0,558.0,794.0,525.0
variant_11735,1388.0,173.0,222.0,166.0
variant_11736,260.0,52.0,97.0,52.0
variant_11737,1573.0,220.0,244.0,193.0
variant_11738,250.0,45.0,14.0,15.0
variant_11739,181.0,28.0,45.0,39.0
variant_11740,206.0,11.0,2.0,23.0
variant_11741,568.0,89.0,42.0,53.0
variant_11742,2693.0,430.0,593.0,588.0
variant_11743,2020.0,236.0,382.0,222.0
variant_11744,1459.0,234.0,339.0,240.0
variant_11745,218.0,3.0,5.0,3.0
variant_11746,33.0,0.0,0.0,0.0
variant_11747,2512.0,467.0,674.0,527.0
variant_11748,980.0,237.0,270.0,179.0
variant_11749,223.0,13.0,3.0,3.0
variant_11750,4082.0,613.0,869.0,673.0
variant_11751,544.0,102.0,151.0,99.0
variant_11752,305.0,30.0,43.0,6.0
variant_11753,1006.0,49.0,34.0,42.0
variant_11754,953.0,174.0,145.0,180.0
variant_11755,401.0,117.0,210.0,264.0
variant_11756,147.0,29.0,18.0,1.0
variant_11757,438.0,79.0,41.0,33.0
variant_11758,343.0,77.0,228.0,139.0
variant_11759,550.0,43.0,66.0,81.0
variant_11760,1002.0,192.0,582.0,574.0
variant_11761,1546.0,302.0,757.0,879.0
variant_11762,87.0,21.0,30.0,31.0
variant_11763,79.0,38.0,8.0,15.0
variant_11764,554.0,98.0,162.0,304.0
variant_11765,1430.0,325.0,964.0,906.0
variant_11766,65.0,7.0,0.0,9.0
variant_11767,758.0,308.0,465.0,683.0
variant_11768,166.0,5.0,14.0,6.0
variant_11769,133.0,28.0,37.0,0.0
variant_11770,509.0,160.0,239.0,228.0
variant_11771,736.0,177.0,314.0,228.0
variant_11772,52.0,24.0,15.0,0.0
variant_11773,642.0,98.0,168.0,178.0
variant_11774,522.0,44.0,17.0,15.0
variant_11775,1579.0,412.0,493.0,485.0
variant_11776,1137.0,171.0,179.0,222.0
variant_11777,41.0,0.0,0.0,4.0
variant_11778,722.0,186.0,146.0,134.0
variant_11779,6263.0,855.0,1267.0,1072.0
variant_11780,552.0,65.0,106.0,73.0
variant_11781,757.0,154.0,187.0,132.0
variant_11782,417.0,36.0,0.0,4.0
variant_11783,354.0,47.0,38.0,10.0
variant_11784,445.0,141.0,275.0,224.0
variant_11785,170.0,11.0,0.0,0.0
variant_11786,442.0,66.0,28.0,4.0
variant_11787,130.0,3.0,0.0,4.0
variant_11788,155.0,64.0,49.0,36.0
variant_11789,249.0,82.0,26.0,48.0
variant_11790,1502.0,194.0,284.0,216.0
variant_11791,554.0,96.0,121.0,129.0
variant_11792,3232.0,624.0,701.0,599.0
variant_11793,919.0,108.0,88.0,93.0
variant_11794,684.0,208.0,162.0,140.0
variant_11795,1083.0,215.0,257.0,193.0
variant_11796,5653.0,531.0,844.0,626.0
variant_11797,365.0,112.0,69.0,72.0
variant_11798,108.0,0.0,0.0,0.0
variant_11799,511.0,196.0,228.0,361.0
variant_11800,157.0,19.0,0.0,0.0
variant_11801,658.0,92.0,59.0,46.0
variant_11802,322.0,26.0,43.0,44.0
variant_11803,444.0,59.0,104.0,33.0
variant_11804,106.0,11.0,16.0,0.0
variant_11805,209.0,39.0,44.0,70.0
variant_11806,191.0,19.0,0.0,0.0
variant_11807,231.0,39.0,0.0,0.0
variant_11808,1483.0,272.0,198.0,211.0
variant_11809,1938.0,257.0,227.0,201.0
variant_11810,100.0,29.0,72.0,70.0
variant_11811,1116.0,160.0,83.0,151.0
variant_11812,128.0,0.0,0.0,0.0
variant_11813,201.0,38.0,50.0,47.0
variant_11814,791.0,112.0,303.0,177.0
variant_11815,619.0,102.0,59.0,39.0
variant_11816,151.0,13.0,12.0,5.0
variant_11817,115.0,0.0,0.0,0.0
variant_11818,541.0,138.0,155.0,114.0
variant_11819,340.0,11.0,6.0,12.0
variant_11820,379.0,33.0,26.0,48.0
variant_11821,287.0,85.0,130.0,44.0
variant_11822,616.0,85.0,65.0,47.0
variant_11823,271.0,86.0,79.0,35.0
variant_11824,141.0,13.0,14.0,14.0
variant_11825,158.0,18.0,11.0,31.0
variant_11826,237.0,5.0,0.0,0.0
variant_11827,336.0,68.0,31.0,37.0
variant_11828,518.0,85.0,51.0,85.0
variant_11829,68.0,10.0,12.0,0.0
variant_11830,327.0,19.0,27.0,11.0
variant_11831,98.0,20.0,0.0,0.0
variant_11832,308.0,19.0,35.0,71.0
variant_11833,45.0,0.0,0.0,0.0
variant_11834,2291.0,271.0,412.0,276.0
variant_11835,328.0,28.0,13.0,6.0
variant_11836,298.0,36.0,11.0,14.0
variant_11837,1419.0,269.0,529.0,604.0
variant_11838,3649.0,490.0,512.0,451.0
variant_11839,271.0,76.0,133.0,85.0
variant_11840,1654.0,121.0,101.0,153.0
variant_11841,835.0,114.0,138.0,111.0
variant_11842,1024.0,69.0,52.0,11.0
variant_11843,349.0,38.0,14.0,9.0
variant_11844,1000.0,217.0,159.0,119.0
variant_11845,201.0,22.0,2.0,15.0
variant_11846,14.0,0.0,0.0,0.0
variant_11847,42.0,7.0,3.0,28.0
variant_11848,282.0,29.0,5.0,0.0
variant_11849,1596.0,457.0,592.0,347.0
variant_11850,1698.0,213.0,323.0,205.0
variant_11851,108.0,32.0,16.0,17.0
variant_11852,1086.0,137.0,135.0,106.0
variant_11853,190.0,17.0,10.0,4.0
variant_11854,497.0,133.0,149.0,145.0
variant_11855,391.0,54.0,117.0,138.0
variant_11856,316.0,71.0,43.0,65.0
variant_11857,1242.0,140.0,200.0,188.0
variant_11858,714.0,69.0,36.0,30.0
variant_11859,78.0,16.0,0.0,4.0
variant_11860,283.0,37.0,29.0,47.0
variant_11861,1217.0,231.0,240.0,219.0
variant_11862,751.0,143.0,146.0,144.0
variant_11863,349.0,23.0,2.0,5.0
variant_11864,497.0,122.0,172.0,138.0
variant_11865,17.0,3.0,1.0,0.0
variant_11866,485.0,54.0,22.0,27.0
variant_11867,2316.0,370.0,484.0,433.0
variant_11868,753.0,195.0,317.0,275.0
variant_11869,999.0,178.0,197.0,140.0
variant_11870,960.0,115.0,82.0,60.0
variant_11871,498.0,58.0,30.0,61.0
variant_11872,391.0,97.0,82.0,118.0
variant_11873,278.0,20.0,33.0,12.0
variant_11874,394.0,65.0,80.0,52.0
variant_11875,3325.0,575.0,419.0,329.0
variant_11876,275.0,134.0,70.0,64.0
variant_11877,2330.0,396.0,306.0,186.0
variant_11878,919.0,117.0,132.0,48.0
variant_11879,2439.0,302.0,195.0,171.0
variant_11880,4149.0,745.0,562.0,458.0
variant_11881,314.0,52.0,31.0,47.0
variant_11882,671.0,36.0,84.0,21.0
variant_11883,362.0,78.0,73.0,55.0
variant_11884,677.0,138.0,194.0,121.0
variant_11885,770.0,195.0,527.0,552.0
variant_11886,2889.0,824.0,1604.0,1823.0
variant_11887,1510.0,421.0,908.0,953.0
variant_11888,1469.0,200.0,234.0,153.0
variant_11889,2442.0,296.0,313.0,294.0
variant_11890,1401.0,191.0,130.0,103.0
variant_11891,752.0,36.0,29.0,13.0
variant_11892,353.0,28.0,2.0,4.0
variant_11893,538.0,104.0,12.0,30.0
variant_11894,2306.0,372.0,492.0,427.0
variant_11895,953.0,171.0,56.0,98.0
variant_11896,172.0,24.0,9.0,0.0
variant_11897,257.0,15.0,5.0,7.0
variant_11898,1149.0,170.0,198.0,84.0
variant_11899,856.0,123.0,51.0,15.0
variant_11900,105.0,122.0,342.0,515.0
variant_11901,692.0,75.0,45.0,4.0
variant_11902,3054.0,425.0,472.0,281.0
variant_11903,507.0,52.0,29.0,32.0
variant_11904,487.0,81.0,78.0,62.0
variant_11905,378.0,16.0,1.0,2.0
variant_11906,362.0,25.0,14.0,16.0
variant_11907,368.0,57.0,146.0,67.0
variant_11908,503.0,33.0,31.0,21.0
variant_11909,622.0,172.0,221.0,150.0
variant_11910,393.0,105.0,197.0,98.0
variant_11911,74.0,4.0,0.0,0.0
variant_11912,1234.0,193.0,225.0,119.0
variant_11913,378.0,50.0,51.0,15.0
variant_11914,875.0,144.0,128.0,75.0
variant_11915,923.0,155.0,263.0,179.0
variant_11916,1682.0,259.0,357.0,266.0
variant_11917,25.0,0.0,0.0,0.0
variant_11918,256.0,27.0,5.0,15.0
variant_11919,235.0,62.0,28.0,46.0
variant_11920,1947.0,375.0,870.0,862.0
