,T0PV,T1,T2,T3,T4,T5
variant_1498,5463,0,406,5,4,0
variant_1499,1666,3855,4,3,2,0
variant_1500,3158,1003,4,2,0,0
variant_1501,15657,5361,136,23,12,1
variant_1502,451,3700,158,1,3,0
variant_1503,1183,0,2,3,2,0
variant_1504,6448,3,6,4,3,2
variant_1505,257,2717,32,0,0,0
variant_1506,1084,0,0,1,1,0
variant_1507,10721,2,97,8,3,1
variant_1508,2165,1979,1,3,0,1
variant_1509,1145,0,1,1,0,0
variant_1510,10440,2,4,12,2,3
variant_1511,5478,3,262,7,2,1
variant_1512,1747,698,9,3,1,0
variant_1513,3231,1,28,3,1,0
variant_1514,3317,0,8,2,0,0
variant_1515,2195,0,0,0,1,1
variant_1516,2688,1,1,3,0,0
variant_1517,142,8879,149,1,1,3
variant_1518,4905,4630,81,7,1,2
variant_1519,687,0,468,1,1,0
variant_1520,1304,0,2,2,1,0
variant_1521,3546,1,2,2,0,0
variant_1522,3008,0,13,4,0,0
variant_1523,44,2910,4,1,0,1
variant_1524,1076,25,1,3,0,0
variant_1525,1170,0,0,0,0,0
variant_1526,32721,2764,389,25,6,5
variant_1527,10760,3,10,15,4,1
variant_1528,1000,0,1,0,0,0
variant_1529,1089,1480,0,0,0,0
variant_1530,2479,0,19,3,1,0
variant_1531,1992,546,0,1,0,0
variant_1532,1185,0,0,1,0,0
variant_1533,4890,0,2,6,0,0
variant_1534,377,0,776,2,0,0
variant_1535,8,39,29,386,569,273
variant_1536,10427,1,68,8,5,2
variant_1537,1873,0,1,4,0,1
variant_1538,3743,9530,96,9,6,2
variant_1539,1700,0,1,1,1,0
variant_1540,1222,0,2,0,0,0
variant_1541,4340,3,0,5,0,1
variant_1542,2453,0,1,2,1,0
variant_1543,2900,5793,240,3,3,1
variant_1544,4885,233,22,5,1,1
variant_1545,8486,4,3,9,0,3
variant_1546,5683,1,7,4,1,0
variant_1547,2777,2,2,2,0,0
variant_1548,1105,0,1,0,0,0
variant_1549,1870,0,41,2,0,2
variant_1550,1447,0,0,0,0,0
variant_1551,1577,907,3,1,0,0
variant_1552,1606,0,2,2,1,0
variant_1553,7607,4357,80,5,2,0
variant_1554,73,1065,0,0,0,0
variant_1555,8760,2447,260,13,1,1
variant_1556,5017,1,1,4,0,1
variant_1557,2296,0,3,1,0,0
variant_1558,498,5085,3,1,2,1
variant_1559,1729,4619,3,0,1,1
variant_1560,1651,1,0,3,0,0
variant_1561,1518,0,116,2,0,0
variant_1562,1599,0,2,1,2,0
variant_1563,6,6,25,2720,3,0
variant_1564,1146,0,1,1,0,1
variant_1565,2229,2,1,4,0,1
variant_1566,2426,465,903,1101,145,43
variant_1567,1265,0,1,0,0,0
variant_1568,711,1132,3,0,0,1
variant_1569,944,136,425,240,55,10
variant_1570,14713,6099,230,26,8,1
variant_1571,2841,2,0,5,1,0
variant_1572,1425,0,0,1,2,0
variant_1573,1460,1,0,1,0,0
variant_1574,789474,152630,284163,225023,47605,16762
variant_1575,3796,564,1225,818,170,64
variant_1576,36347,1997,91,42,13,8
variant_1577,1924,269,471,692,99,35
variant_1578,1056,185,412,310,63,25
variant_1579,733,119,226,203,55,18
variant_1580,5173,1,3,6,1,4
variant_1581,2574,270,487,703,83,24
variant_1582,1172,259,355,392,68,12
variant_1583,1093,46,186,546,9,7
variant_1584,388,28,87,560,12,6
variant_1585,615,115,202,147,32,34
variant_1586,1045,136,204,182,36,15
variant_1587,125,26,79,3090,11,4
variant_1588,1199,2255,90,5,1,0
variant_1589,7005,5855,618,10,0,1
variant_1590,567,103,231,149,26,10
variant_1591,2356,4,2829,5,1,0
variant_1592,1263,1,0,1,0,0
variant_1593,1817,0,1,2,0,0
variant_1594,3916,1,4,3,1,0
variant_1595,7747,12076,735,7,5,4
variant_1596,8001,507,4,4,2,4
variant_1597,1644,0,0,2,0,0
variant_1598,4449,1,25,5,1,0
variant_1599,1907,0,1,1,0,0
variant_1600,1664,1,0,3,0,0
variant_1601,1466,1,5,2,0,0
variant_1602,25942,3,445,20,4,2
variant_1603,12616,2,13,8,1,1
variant_1604,1317,0,0,2,1,0
variant_1605,4021,0,1,7,2,1
variant_1606,1409,0,2,1,0,0
variant_1607,1269,0,1,1,0,1
variant_1608,10633,2,6,9,1,2
variant_1609,2070,0,1,4,1,0
variant_1610,12485,0,17,17,4,1
variant_1611,3936,0,1,4,1,0
variant_1612,6659,6137,28,10,3,1
variant_1613,1203,1,3,2,0,1
variant_1614,21520,3483,484,27,7,6
variant_1615,13587,1,11,5,2,2
variant_1616,21,65,71,237,600,419
variant_1617,3075,0,101,3,1,0
variant_1618,1686,0,2,5,0,0
variant_1619,623,104,255,134,26,15
variant_1620,4688,2,3,3,0,1
variant_1621,2558,0,1,3,0,0
variant_1622,48412,2722,683,44,15,8
variant_1623,2603,2,2,4,1,1
variant_1624,7353,2,4,8,4,0
variant_1625,26465,2229,4228,4536,12,5
variant_1626,1369,0,2,7,0,0
variant_1627,40104,20133,666,45,15,12
variant_1628,30478,1650,70,945,6,7
variant_1629,674,653,2,0,0,0
variant_1630,2287,0,2,3,2,1
variant_1631,1607,0,0,0,0,0
variant_1632,1028,0,0,0,0,0
variant_1633,5943,938,3,9,0,0
variant_1634,1113,1,0,0,0,0
variant_1635,2426,0,2,1,0,0
variant_1636,52983,23627,42,65,10,5
variant_1637,9396,1,5,8,4,1
variant_1638,2600,0,1,4,0,1
variant_1639,2045,1,9,1,2,0
variant_1640,1567,650,3,3,1,6
variant_1641,8454,3536,68,10,3,4
variant_1642,2937,1880,4,1,0,1
variant_1643,6006,2,3,7,1,1
variant_1644,12276,4571,362,14,4,3
variant_1645,2343,0,1,2,2,0
variant_1646,3461,0,185,6,2,1
variant_1647,985,0,33,1,0,0
variant_1648,9505,1,7,5,2,0
variant_1649,1183,0,1,1,2,0
variant_1650,1467,1,0,0,0,0
variant_1651,11496,3,16,7,8,2
variant_1652,1586,0,1,0,2,0
variant_1653,7944,101,9,4,1,0
variant_1654,1085,0,0,1,0,0
variant_1655,1080,1,0,0,2,0
variant_1656,1663,0,2,5,0,0
variant_1657,82158,3029,2930,1415,26,14
variant_1658,4587,3847,366,6,6,1
variant_1659,62034,7087,730,77,14,10
variant_1660,1058,0,1,2,1,1
variant_1661,16003,7272,112,646,3,2
variant_1662,8836,1,96,8,1,2
variant_1663,45496,8054,1033,4247,15,4
variant_1664,51842,10230,4445,68,14,5
variant_1665,41798,11525,3774,978,18,6
variant_1666,13614,3,671,13,3,3
variant_1667,9014,2,11,9,3,0
variant_1668,3103,3,635,1,1,0
variant_1669,2548,958,56,4,0,0
variant_1670,1020,0,0,1,0,0
variant_1671,245148,48276,35129,14886,500,56
variant_1672,1440,263,230,102,5,2
variant_1673,1744,317,221,110,4,0
variant_1674,7526,2,680,4,4,0
variant_1675,1872,0,1,0,0,0
variant_1676,1196,0,1,1,0,0
variant_1677,1072,2,1,0,0,0
variant_1678,4116,1,4,4,2,0
variant_1679,1399,2174,313,1,1,0
variant_1680,3187,0,4,1,1,0
variant_1681,1003,1204,1,0,0,0
variant_1682,2219,724,1,0,0,1
variant_1683,39801,1657,211,27,8,2
variant_1684,9317,1386,195,12,0,1
variant_1685,2310,1,2,0,0,0
variant_1686,3603,1,0,2,0,0
variant_1687,155,2060,2,2,0,0
variant_1688,1736,0,2,4,0,0
variant_1689,1343,0,1,0,0,0
variant_1690,1056,0,1,1,0,0
variant_1691,15370,2,140,15,2,5
variant_1692,6098,4,5,4,1,0
variant_1693,6209,2999,774,10,2,1
variant_1694,3908,0,4,2,0,1
variant_1695,1606,0,1,1,0,0
variant_1696,1596,0,0,2,1,0
variant_1697,4510,0,280,5,0,2
variant_1698,1074,0,0,0,0,1
variant_1699,26940,5,108,19,7,0
variant_1700,1055,43,197,157,26,9
variant_1701,2664,1,1,2,2,0
variant_1702,124598,11495,3348,107,29,25
variant_1703,11292,2525,900,15,3,4
variant_1704,1197,0,0,1,1,0
variant_1705,1495,0,0,1,0,0
variant_1706,6357,0,200,6,1,1
variant_1707,474,4917,130,3,1,0
variant_1708,2115,3,524,1,0,0
variant_1709,1425,0,1,2,2,1
variant_1710,1785,0,2,0,0,0
variant_1711,1020,0,1,0,0,0
variant_1712,1049,0,1,1,0,0
variant_1713,2070,6978,176,7,1,1
variant_1714,52758,1457,992,47,22,8
variant_1715,6335,1,6,7,2,1
variant_1716,6143,1,2,4,1,2
variant_1717,1391,0,1,1,0,0
variant_1718,1194,2591,42,3,1,0
variant_1719,1487,3607,2,3,0,1
variant_1720,1257,0,1,1,0,0
variant_1721,1205,0,1,0,0,0
variant_1722,25589,1915,386,20,8,3
variant_1723,824,4193,176,3,1,2
variant_1724,2357,1,1,1,3,0
variant_1725,31558,10312,1272,29,9,7
variant_1726,1090,158,1240,10068,65,1037
variant_1727,3662,3390,112,8,2,2
variant_1728,4866,0,2,1,1,0
variant_1729,3473,8563,219,6,4,0
variant_1730,11931,2,13,8,6,1
variant_1731,854,4337,115,1,0,0
variant_1732,1583,1,0,0,0,0
variant_1733,1054,0,0,3,0,0
variant_1734,6307,2294,37,5,1,1
variant_1735,5747,1,4,5,0,1
variant_1736,4719,4,68,5,0,1
variant_1737,1092,0,0,1,0,1
variant_1738,1733,0,2,2,0,0
variant_1739,31202,6,37,22,6,3
variant_1740,7173,5809,4,5,5,1
variant_1741,1887,0,0,1,0,1
variant_1742,8417,4367,147,13,3,2
variant_1743,4827,0,5,3,1,1
variant_1744,2774,1,1,2,2,1
variant_1745,2223,0,10,2,1,1
variant_1746,36965,1421,277,38,8,4
variant_1747,2944,0,0,1,0,0
variant_1748,11416,5,471,242,1,0
variant_1749,10265,16212,1042,10,4,5
variant_1750,9986,4,99,10,3,1
variant_1751,1791,0,6,1,0,0
variant_1752,1831,1,1,3,1,1
variant_1753,15524,1021,8,20,7,1
variant_1754,4046,1,0,7,1,0
variant_1755,3562,0,0,3,1,0
variant_1756,4777,8,0,4,0,0
variant_1757,2832,0,1,6,1,0
variant_1758,1495,0,1,0,0,0
variant_1759,1727,0,2,3,1,0
variant_1760,1026,0,0,0,0,1
variant_1761,33,48,85,1308,2487,3491
variant_1762,1243,0,1,6,22,21
variant_1763,1257,0,1,0,0,0
variant_1764,2391,0,4,4,1,0
variant_1765,1402,698,0,0,0,0
variant_1766,4219,2418,5,7,3,1
variant_1767,1213,0,1,1,0,0
variant_1768,8634,2061,633,7,0,5
variant_1769,11899,1450,32,15,3,0
variant_1770,1823,0,0,4,1,0
variant_1771,1477,0,3,1,1,0
variant_1772,673,0,179,496,2,0
variant_1773,2384,0,1,1,0,0
variant_1774,1042,0,0,2,0,1
variant_1775,5012,1,3,7,2,1
variant_1776,1612,1,0,1,0,0
variant_1777,13948,2,941,13,5,2
variant_1778,2299,2,6,1,1,0
variant_1779,2210,1,1,3,0,0
variant_1780,1411,0,1,0,2,1
variant_1781,12276,3,170,11,4,2
variant_1782,5613,2,3,9,2,0
variant_1783,1285,0,0,1,0,0
variant_1784,1244,0,0,1,0,0
variant_1785,3056,0,2,4,1,0
variant_1786,2075,0,2,0,0,0
variant_1787,1106,0,1,0,0,0
variant_1788,53509,6479,1223,51,17,5
variant_1789,4224,0,1,3,2,0
variant_1790,3705,1,2,1,2,0
variant_1791,1539,0,1,2,0,0
variant_1792,6906,1,4,4,3,2
variant_1793,5751,1,2,4,0,1
variant_1794,3565,0,2,1,2,1
variant_1795,7335,1,3,8,5,1
variant_1796,7309,3130,10819,19471,11669,9010
variant_1797,2679,0,0,1,1,0
variant_1798,5141,0,239,9,0,1
variant_1799,8154,1,33,5,1,1
variant_1800,17045,1,23,18,8,1
variant_1801,1297,0,0,1,0,1
variant_1802,4733,2,5,6,3,0
variant_1803,3104,3161,4,5,0,0
variant_1804,7416,0,3,4,0,0
variant_1805,2329,0,1,2,1,0
variant_1806,190,196,339,1879,7814,8455
variant_1807,9,14,8,68,452,450
variant_1808,299,245,317,1585,8536,12583
variant_1809,42,39,45,235,1148,1296
variant_1810,8834,4839,167,4,3,2
variant_1811,2886,1,1,1,1,0
variant_1812,1241,0,0,0,0,0
variant_1813,52548,254899,391081,1816889,12322186,14936782
variant_1814,180,417,700,4452,17674,20104
variant_1815,71,244,519,6652,12363,17492
variant_1816,133,279,311,2550,10755,12295
variant_1817,50,121,218,5620,5552,6782
variant_1818,34,81,99,1825,2700,3247
variant_1819,40,90,123,1850,3504,4025
variant_1820,58,111,133,3650,4453,4962
variant_1821,117,85,171,3877,6655,5057
variant_1822,74,67,111,616,2660,2967
variant_1823,143,166,306,1476,7199,8521
variant_1824,75,74,142,4877,5434,4879
variant_1825,56,58,41,424,1784,2070
variant_1826,18,17,29,583,843,958
variant_1827,17,48,77,408,1930,2449
variant_1828,63,34,44,276,1454,1725
variant_1829,46,120,195,4857,5458,6497
variant_1830,34,78,158,2149,3905,5029
variant_1831,23,38,80,5213,1215,1403
variant_1832,18,41,63,245,1724,2149
variant_1833,105,60,88,583,2163,2749
variant_1834,25,42,80,923,2099,2474
variant_1835,18,43,127,1018,1950,2425
variant_1836,38,45,71,590,2737,3368
variant_1837,28,35,46,223,1553,1799
variant_1838,19,24,53,1510,1241,1370
variant_1839,10,20,182,2392,517,1001
variant_1840,1416,0,0,1,0,0
variant_1841,224,3967,8,5,1,1
variant_1842,1498,0,1,3,0,0
variant_1843,149,169,246,1899,7658,9479
variant_1844,8501,2247,34,7,3,1
variant_1845,23,61,113,4805,2694,3244
variant_1846,101,47,71,332,2196,2240
variant_1847,1655,1,1,1,0,0
variant_1848,5110,0,18,5,1,0
variant_1849,1000,0,0,1,0,0
variant_1850,34,15,25,83,489,478
variant_1851,7567,1,8,11,5,2
variant_1852,1068,0,0,2,0,0
variant_1853,96,98,373,4219,24844,9049
variant_1854,19,48,83,1357,2366,2832
variant_1855,1838,0,0,2,1,0
variant_1856,77,75,106,2207,2640,2862
variant_1857,3175,1,3,1,0,0
variant_1858,3833,0,260,2,2,1
variant_1859,1387,0,3,0,0,0
variant_1860,1181,0,0,1,2,0
variant_1861,298,170,73,102,275,325
variant_1862,6223,2221,485,2844,311,2
variant_1863,387,2776,2,2,0,0
variant_1864,103629,63498,34652,33467,112712,131997
variant_1865,302,193,118,105,317,406
variant_1866,4139,2736,2,4,0,0
variant_1867,294,137,68,108,264,264
variant_1868,379,145,94,224,258,252
variant_1869,301,159,90,75,269,315
variant_1870,33,12,16,353,661,31
variant_1871,1520,1,0,2,0,0
variant_1872,4739,0,1,6,1,2
variant_1873,1985,1,2,3,0,2
variant_1874,1874,1,0,0,1,0
variant_1875,1952,0,5,4,0,1
variant_1876,2935,2767,138,2,2,1
variant_1877,7160,1,0,7,2,2
variant_1878,1012,0,0,0,0,1
variant_1879,1761,0,1,0,0,0
variant_1880,1621,0,1,1,0,0
variant_1881,2388,0,2,1,1,0
variant_1882,1772,1,1,0,1,0
variant_1883,162,121,207,2988,5273,6006
variant_1884,8488,1,11,2,4,1
variant_1885,2717,1436,851,4,2,0
variant_1886,2800,7935,129,5,2,0
variant_1887,2300,1,517,1,0,1
variant_1888,3055,0,1,3,0,0
variant_1889,2151,0,4,2,1,1
variant_1890,9070,4,4,13,8,1
variant_1891,1289,0,1,2,1,1
variant_1892,3085,3677,15,3,0,1
variant_1893,2903,3,40,2,1,0
variant_1894,1427,1,1,3,0,0
variant_1895,1053,0,1,0,0,1
variant_1896,4762,2,1,1,4,1
variant_1897,1846,1,30,3,0,0
variant_1898,1314,0,1,2,0,0
variant_1899,2888,0,4,1,0,0
variant_1900,1168,0,0,1,0,0
variant_1901,126,1036,0,0,0,0
variant_1902,1157,1,0,2,0,0
variant_1903,12022,3,8,11,2,5
variant_1904,107049,25732,2261,127,41,26
variant_1905,9770,1503,5,7,2,0
variant_1906,8,16,35,1059,830,874
variant_1907,14066,2,87,14,2,0
variant_1908,1920,0,1,0,0,0
variant_1909,1781,0,2,3,0,0
variant_1910,20031,6,226,15,5,1
variant_1911,1312,0,1,2,1,0
variant_1912,1034,0,2,1,0,0
variant_1913,95415,2319,1279,98,43,43
variant_1914,12774,1981,103,7,2,1
variant_1915,1080,0,0,0,1,0
variant_1916,1063,0,1,1,0,1
variant_1917,305,248,449,3809,20448,12911
variant_1918,1481,0,2,3,0,0
variant_1919,6295,6,271,5,2,2
variant_1920,1747,1,4,1,0,0
variant_1921,1794,1,0,3,0,0
variant_1922,1087,0,1,2,1,0
variant_1923,1715,0,1,3,1,0
variant_1924,526,704,44,0,0,0
variant_1925,14594,284,151,17,4,1
variant_1926,1475,0,430,2,1,0
variant_1927,1629,0,1,2,0,0
variant_1928,8604,1198,15,11,2,0
variant_1929,2524,0,1,2,0,1
variant_1930,84062,7192,152,83,27,12
variant_1931,39731,5701,745,48,11,9
variant_1932,47699,2483,777,49,9,5
variant_1933,3504,1,0,7,0,0
variant_1934,5387,0,2,8,0,0
variant_1935,2044,1,271,4,1,0
variant_1936,5289,2,5,7,5,1
variant_1937,1071,2754,117,1,2,0
variant_1938,159,4095,8,1,1,0
variant_1939,36,27,41,128,649,789
variant_1940,3503,1,36,4,0,0
variant_1941,2102,1,1,1,0,1
variant_1942,166,193,270,2111,8509,8111
variant_1943,8,20,21,88,546,618
variant_1944,1991,0,0,0,1,0
variant_1945,4593,1,19,5,1,0
variant_1946,1573,0,3,0,0,0
variant_1947,1731,5101,4,3,2,0
variant_1948,17365,5,80,12,10,2
variant_1949,5959,2,3,6,1,2
variant_1950,1075,0,1,0,0,0
variant_1951,982,6764,19,3,2,1
variant_1952,9999,1284,12,12,1,2
variant_1953,2353,1,1,5,1,0
variant_1954,1910,1,0,2,0,1
variant_1955,1962,0,55,3,0,0
variant_1956,1624,0,2,0,1,0
variant_1957,6276,1121,6,6,3,0
variant_1958,4865,4189,5,6,2,0
variant_1959,2126,1,0,2,2,0
variant_1960,2567,0,1,2,0,1
variant_1961,1038,1,0,3,1,0
variant_1962,1259,0,2,1,0,0
variant_1963,2267,0,4,1,1,0
variant_1964,1331,1,2,2,2,0
variant_1965,6037,1,3,4,1,1
variant_1966,1303,3315,2,1,3,2
variant_1967,4078,1,3,3,3,2
variant_1968,2406,0,2,3,0,0
variant_1969,2511,0,1,2,0,0
variant_1970,1984,1,1,1,0,0
variant_1971,1497,0,0,1,0,0
variant_1972,1669,1,1,1,0,1
variant_1973,1511,0,2,2,0,0
variant_1974,1321,0,0,0,0,1
variant_1975,4960,2,5,8,3,0
variant_1976,1442,0,0,2,0,1
variant_1977,8313,1,4,6,3,1
variant_1978,51745,19,146,42,11,6
variant_1979,9888,2047,595,10,4,1
variant_1980,1369,0,1,0,1,1
variant_1981,1360,2709,1,0,0,0
variant_1982,1802,1,1,1,0,0
variant_1983,1761,0,2,2,0,0
variant_1984,1995,0,0,3,0,0
variant_1985,6525,0,3,8,1,0
variant_1986,2781,1,3,2,0,1
variant_1987,3002,0,3,4,0,1
variant_1988,4221,2416,220,3,5,1
variant_1989,3812,6064,22,5,1,2
variant_1990,3145,177,0,4,1,0
variant_1991,2788,0,1,1,0,0
variant_1992,238,2633,32,0,0,0
variant_1993,1279,1,0,0,0,0
variant_1994,8444,295,17,5,4,2
variant_1995,4863,6161,664,8,3,3
variant_1996,4755,0,7,2,3,0
variant_1997,4960,0,4,5,1,0
variant_1998,1080,0,0,3,1,1
variant_1999,1427,0,0,2,0,0
variant_2000,1174,0,0,0,0,0
variant_2001,1547,0,0,0,1,0
variant_2002,2848,0,2,4,1,2
variant_2003,1815,1,24,2,1,0
variant_2004,2531,0,0,3,0,0
variant_2005,718,3,200,2512,1,0
variant_2006,4254,5995,39,5,2,1
variant_2007,2010,0,2,2,0,0
variant_2008,2601,0,2,2,0,0
variant_2009,2913,2108,11,4,1,0
variant_2010,21858,6,18,16,7,5
variant_2011,8448,3170,33,10,1,0
variant_2012,6333,3,7,13,4,0
variant_2013,3103,0,3,2,0,1
variant_2014,1050,1,0,2,0,0
variant_2015,1019,0,1,1,0,0
variant_2016,3759,2,14,3,0,0
variant_2017,1380,0,0,2,1,0
variant_2018,1365,1,1,3,3,1
variant_2019,1188,0,0,1,0,0
variant_2020,1224,0,0,0,0,0
variant_2021,1600,0,0,0,1,0
variant_2022,2856,0,1,5,0,0
variant_2023,2403,1,0,4,1,1
variant_2024,2801,0,1,1,0,1
variant_2025,11181,4236,4,7,2,2
variant_2026,5153,1324,634,4,5,0
variant_2027,4993,2,4,4,2,3
variant_2028,1522,2,4,2,1,0
variant_2029,1772,0,0,1,0,0
variant_2030,1086,1,0,1,0,0
variant_2031,1420,0,0,1,0,0
variant_2032,16948,5,29,14,8,2
variant_2033,1627,0,1,0,0,0
variant_2034,2455,1,2,3,0,0
variant_2035,2070,0,3,1,0,0
variant_2036,5702,2,8,2,1,1
variant_2037,2250,1,1,0,0,1
variant_2038,1660,0,0,2,0,0
variant_2039,1135,4367,20,1,0,0
variant_2040,1935,1,1,3,0,0
variant_2041,15082,4,31,15,5,3
variant_2042,4496,2,18,3,0,0
variant_2043,1487,0,2,1,0,2
variant_2044,1039,0,0,3,0,0
variant_2045,1722,0,0,0,2,1
variant_2046,1548,0,0,1,1,0
variant_2047,1210,2095,3,1,3,0
variant_2048,1546,1,35,0,0,0
variant_2049,7110,2,34,10,1,1
variant_2050,1213,0,1,1,0,0
variant_2051,3045,0,491,5,1,1
variant_2052,1040,0,0,1,0,0
variant_2053,4183,966,2,4,5,0
variant_2054,2400,0,1,2,1,0
variant_2055,3232,0,1,4,2,0
variant_2056,1555,0,1,2,0,0
variant_2057,7653,2811,189,9,2,0
variant_2058,2393,1,3,2,0,0
variant_2059,5184,1,52,10,1,1
variant_2060,1394,1,0,4,0,0
variant_2061,52,1429,284,0,0,0
variant_2062,1810,0,1,3,0,0
variant_2063,9311,2276,95,10,1,1
variant_2064,2010,1,1,0,1,0
variant_2065,2264,1,48,0,1,1
variant_2066,2451,0,84,2,1,1
variant_2067,2809,0,1,4,1,0
variant_2068,1743,0,2,1,0,1
variant_2069,1043,1,0,0,0,1
variant_2070,1583,0,0,2,0,0
variant_2071,1469,0,1,1,0,1
variant_2072,1658,0,1,1,0,0
variant_2073,3477,1,2,2,2,2
variant_2074,4863,2820,9,4,2,0
variant_2075,2225,6182,20,3,0,2
variant_2076,1752,0,0,2,0,0
variant_2077,2906,2,1,2,1,1
variant_2078,1655,2999,4,3,2,0
variant_2079,7985,2333,858,10,2,0
variant_2080,6351,3,5,5,0,1
variant_2081,1672,1,1,1,0,0
variant_2082,1871,0,7,5,1,0
variant_2083,1180,0,0,1,0,0
variant_2084,9517,4,30,10,2,3
variant_2085,1234,0,0,0,1,0
variant_2086,1138,0,0,2,1,0
variant_2087,1802,0,1,2,2,2
variant_2088,2699,0,0,3,0,0
variant_2089,1442,2,3,2,0,0
variant_2090,2652,1,2,3,0,0
variant_2091,2989,0,5,3,0,0
variant_2092,1028,730,103,1,0,1
variant_2093,967,2006,1,4,0,1
variant_2094,21853,1728,57,21,4,4
variant_2095,1909,1,0,0,0,0
variant_2096,2262,0,3,1,2,1
variant_2097,2,16,7,1127,14,6
variant_2098,1692,0,1,2,0,0
variant_2099,3015,657,26,2,0,1
variant_2100,1055,0,0,3,0,0
variant_2101,8445,1,58,10,3,1
variant_2102,2995,0,0,1,1,0
variant_2103,2213,0,0,4,1,0
variant_2104,3162,0,0,4,3,1
variant_2105,2142,0,0,5,1,0
variant_2106,3103,0,2,0,0,1
variant_2107,3363,897,5,4,1,2
variant_2108,1231,1,0,1,0,0
variant_2109,1413,0,1,3,0,0
variant_2110,12599,29135,90139,101351,167316,142445
variant_2111,49,94,309,391,533,402
variant_2112,50,52,202,331,392,579
variant_2113,5,8,31,1410,29,20
variant_2114,1745,2,3,4,0,0
variant_2115,9563,2,9,8,3,3
variant_2116,2469,0,1,0,0,1
variant_2117,1570,0,0,1,0,0
variant_2118,1003,0,0,4,0,1
variant_2119,1819,1,0,0,1,0
variant_2120,1137,1,1,2,0,0
variant_2121,1085,0,1,1,1,0
variant_2122,3808,1,1,5,0,1
variant_2123,1485,0,176,219,2,0
variant_2124,1591,0,0,2,0,1
variant_2125,2489,0,2,2,0,1
variant_2126,29139,2919,395,25,12,3
variant_2127,4527,2025,4,9,1,2
variant_2128,7382,2378,16,9,2,3
variant_2129,4792,2,1,5,3,0
variant_2130,2062,1,2,1,0,0
variant_2131,2790,0,0,2,1,1
variant_2132,4475,831,0,3,0,0
variant_2133,4168,0,3,2,0,0
variant_2134,1195,1,0,0,2,0
variant_2135,2688,0,2,2,0,0
variant_2136,1023,0,4,2,0,0
variant_2137,2143,0,0,2,2,0
variant_2138,12533,611,264,10,4,2
variant_2139,3669,8809,18198,10452,16197,28152
variant_2140,4565,1609,12,7,2,2
variant_2141,1724,0,0,4,0,0
variant_2142,3289,2704,265,2,0,1
variant_2143,10054,1328,18,4,1,1
variant_2144,6182,2003,5,8,2,0
variant_2145,2138,0,0,1,0,0
variant_2146,1557,0,1,0,0,1
variant_2147,5527,1,2,4,1,0
variant_2148,2370,1,42,2,1,0
variant_2149,5507,1,5,4,2,0
variant_2150,1987,0,1,2,0,1
variant_2151,3036,1,1,2,0,0
variant_2152,638,2359,452,246,0,1
variant_2153,1442,3531,30,1,1,1
variant_2154,43784,3865,641,33,16,4
variant_2155,3152,1923,21,2,1,1
variant_2156,1513,1,2,0,0,0
variant_2157,3045,4695,283,5,1,2
variant_2158,3094,2,5,3,2,1
variant_2159,18568,4104,380,16,8,5
variant_2160,7283,3,4,3,0,1
variant_2161,3209,0,0,5,1,0
variant_2162,3182,0,3,2,1,0
variant_2163,1749,0,0,2,0,0
variant_2164,1086,0,1,1,0,0
variant_2165,1060,0,0,0,0,0
variant_2166,9274,3,8,7,4,1
variant_2167,5562,2,2,3,0,1
variant_2168,1183,1,1,0,1,0
variant_2169,160695,44278,12512,1423,57,30
variant_2170,4584,1,2,7,1,1
variant_2171,1246,0,0,2,0,0
variant_2172,9977,3,4,12,3,0
variant_2173,1581,0,2,0,0,0
variant_2174,4096,2,1,3,2,1
variant_2175,21784,9973,510,22,8,4
variant_2176,2489,0,2,1,0,0
variant_2177,1574,1,1,1,2,1
variant_2178,1029,0,0,1,0,0
variant_2179,6035,2,4,5,2,0
variant_2180,2937,0,2,4,0,0
variant_2181,37,96,275,135,124,553
variant_2182,9265,2630,47,8,6,1
variant_2183,7856,0,10,9,2,0
variant_2184,7200,5414,444,6,6,1
variant_2185,2991,2953,17,1,3,2
variant_2186,1347,0,1,0,0,0
variant_2187,1556,0,31,2,0,0
variant_2188,33829,82027,272125,138529,137962,559417
variant_2189,105,174,767,323,351,1352
variant_2190,66,139,429,295,232,864
variant_2191,65,130,374,214,194,822
variant_2192,113,155,468,337,307,974
variant_2193,11,32,98,807,42,189
variant_2194,8,19,33,54,297,1593
variant_2195,57,133,370,283,183,715
variant_2196,2847,1,3,3,1,0
variant_2197,1935,3896,301,4,1,0
variant_2198,23320,7,76,23,10,1
variant_2199,3032,0,2,3,0,1
variant_2200,39,8,29,2605,4,0
variant_2201,1180,65,85,55,2,0
variant_2202,1140,0,2,1,0,0
variant_2203,68,1500,0,0,0,1
variant_2204,7238,2,1,7,4,1
variant_2205,1199,0,1,1,0,1
variant_2206,2140,0,1,2,0,0
variant_2207,1363,1,1,2,3,0
variant_2208,1119,0,2,4,0,0
variant_2209,54,34,281,313,181,394
variant_2210,1125,0,0,1,0,0
variant_2211,2968,1,3,2,0,2
variant_2212,2082,3,1,2,1,1
variant_2213,2663,0,0,5,0,0
variant_2214,1759,35,20069,16944,2983,327
variant_2215,1,0,19,1179,2,0
variant_2216,26513,3,695,24,12,4
variant_2217,4895,1,8,7,2,0
variant_2218,1764,1,1,1,1,1
variant_2219,1745,0,2,3,1,0
variant_2220,1706,2,0,1,0,0
variant_2221,2140,1,2,1,0,1
