,G0,D1.25,D2.25,D3.25,D4.25
variant_11583,10,0,0,0,0
variant_11584,315,562,778,841,1015
variant_11585,451,239,142,152,198
variant_11586,657,1168,1098,1631,1815
variant_11587,156,95,29,49,43
variant_11588,477,33,3,0,0
variant_11589,79,2,6,5,12
variant_11590,292,101,51,47,76
variant_11591,29,5,2,2,0
variant_11592,278,577,574,790,1022
variant_11593,2165,296,0,0,1
variant_11594,1838,4089,4299,5832,7825
variant_11595,72,59,50,76,158
variant_11596,157,11,8,2,3
variant_11597,710,501,376,576,679
variant_11598,201,15,2,8,6
variant_11599,253,223,164,216,333
variant_11600,3,0,0,0,0
variant_11601,275,68,19,28,4
variant_11602,1195,2509,2046,2606,3109
variant_11603,263,662,799,1072,1882
variant_11604,12,0,1,0,0
variant_11605,182,236,163,288,433
variant_11606,130,648,700,752,1094
variant_11607,297,25,5,6,2
variant_11608,766,1552,1374,1528,1826
variant_11609,283,142,67,61,48
variant_11610,278,24,16,16,6
variant_11611,324,389,207,162,165
variant_11612,2082,3585,3256,4266,5207
variant_11613,1230,185,86,41,42
variant_11614,27,0,0,2,0
variant_11615,700,1312,1515,1993,2756
variant_11616,1109,1299,1534,2028,2624
variant_11617,24,45,57,60,84
variant_11618,84,3,3,0,2
variant_11619,369,464,298,255,250
variant_11620,582,401,237,182,185
variant_11621,75,22,3,1,3
variant_11622,314,22,0,2,3
variant_11623,339,428,394,585,603
variant_11624,36,0,0,0,0
variant_11625,44,0,1,0,1
variant_11626,225,79,40,38,31
variant_11627,709,900,664,887,1339
variant_11628,200,472,375,442,677
variant_11629,25,0,0,0,0
variant_11630,821,823,499,466,373
variant_11631,195,165,119,157,196
variant_11632,794,146,32,62,27
variant_11633,18,1,0,2,1
variant_11634,56,10,8,1,6
variant_11635,14,0,0,0,0
variant_11636,49,0,0,0,0
variant_11637,76,57,30,11,20
variant_11638,538,202,74,78,44
variant_11639,256,342,379,536,542
variant_11640,26,11,48,39,116
variant_11641,191,110,134,159,162
variant_11642,184,3,0,0,0
variant_11643,210,143,75,53,36
variant_11644,829,1042,773,852,1097
variant_11645,93,37,3,1,0
variant_11646,444,684,635,862,1282
variant_11647,346,529,511,564,884
variant_11648,644,409,120,189,103
variant_11649,658,1093,1151,1580,1871
variant_11650,140,182,74,109,129
variant_11651,32,9,0,0,0
variant_11652,106,176,169,285,387
variant_11653,19,0,0,0,0
variant_11654,27,0,1,1,1
variant_11655,55,20,40,36,59
variant_11656,80,27,28,28,37
variant_11657,210,366,269,318,505
variant_11658,229,649,610,818,1127
variant_11659,57,32,26,9,12
variant_11660,153,179,114,177,183
variant_11661,117,181,120,136,123
variant_11662,89,128,112,195,223
variant_11663,386,282,157,178,129
variant_11664,346,139,66,69,56
variant_11665,651,920,781,1264,1836
variant_11666,233,297,300,366,477
variant_11667,305,582,596,673,863
variant_11668,63,1,4,0,4
variant_11669,527,34,8,0,1
variant_11670,50,6,5,0,2
variant_11671,244,135,79,73,74
variant_11672,307,180,74,81,61
variant_11673,213,53,66,134,159
variant_11674,67,0,4,2,2
variant_11675,489,92,14,11,5
variant_11676,43,1,1,2,0
variant_11677,159,64,64,119,119
variant_11678,218,28,0,0,0
variant_11679,134,25,9,6,2
variant_11680,257,1019,980,1535,2048
variant_11681,578,739,506,850,1005
variant_11682,68,1,14,1,2
variant_11683,1053,250,131,128,89
variant_11684,123,1,1,1,0
variant_11685,183,37,6,14,11
variant_11686,20,0,0,0,0
variant_11687,141,61,17,8,3
variant_11688,414,147,57,37,26
variant_11689,4,0,0,0,0
variant_11690,723,510,295,268,167
variant_11691,29,52,49,49,145
variant_11692,46,2,0,0,0
variant_11693,29,1,2,8,2
variant_11694,62,5,4,1,9
variant_11695,834,298,120,87,60
variant_11696,534,220,64,47,50
variant_11697,313,412,278,381,392
variant_11698,181,165,64,54,38
variant_11699,652,505,302,312,144
variant_11700,53,61,43,82,131
variant_11701,656,849,720,958,992
variant_11702,78,0,0,2,1
variant_11703,235,21,9,5,1
variant_11704,254,26,0,4,1
variant_11705,98,127,88,142,175
variant_11706,8,0,0,2,0
variant_11707,34,0,1,0,0
variant_11708,296,36,6,9,4
variant_11709,210,13,0,0,0
variant_11710,798,177,54,44,19
variant_11711,71,0,0,0,0
variant_11712,128,135,29,30,23
variant_11713,907,79,5,12,5
variant_11714,336,306,97,43,41
variant_11715,37,4,0,2,0
variant_11716,997,2790,3528,5186,6433
variant_11717,1794,1419,1206,1891,2365
variant_11718,185,74,34,29,15
variant_11719,176,351,478,653,872
variant_11720,97,194,180,192,355
variant_11721,26,0,0,0,0
variant_11722,852,1616,1010,1293,2082
variant_11723,40,14,9,4,9
variant_11724,355,828,1020,1427,1841
variant_11725,93,0,0,0,2
variant_11726,19,1,0,0,1
variant_11727,371,42,3,0,0
variant_11728,77,51,59,80,103
variant_11729,45,0,0,0,0
variant_11730,110,43,43,62,109
variant_11731,465,460,150,154,109
variant_11732,212,181,146,168,164
variant_11733,310,453,387,585,747
variant_11734,199,159,205,229,394
variant_11735,329,233,144,163,143
variant_11736,1005,315,40,32,21
variant_11737,20,0,0,0,0
variant_11738,145,173,160,277,281
variant_11739,185,137,173,234,200
variant_11740,529,68,1,0,4
variant_11741,211,460,416,576,880
variant_11742,160,258,314,465,578
variant_11743,85,0,1,5,0
variant_11744,13,0,0,0,0
variant_11745,266,301,220,248,313
variant_11746,56,5,7,20,17
variant_11747,383,12,1,0,2
variant_11748,96,64,23,10,4
variant_11749,2299,1080,332,212,186
variant_11750,125,40,31,23,11
variant_11751,492,563,283,323,250
variant_11752,428,844,476,439,442
variant_11753,220,210,148,97,147
variant_11754,105,9,1,1,0
variant_11755,1349,1821,2005,2787,3935
variant_11756,181,101,44,26,27
variant_11757,485,97,4,13,9
variant_11758,485,68,30,25,15
variant_11759,897,1314,1011,1447,1389
variant_11760,2184,2527,2424,2855,3392
variant_11761,56,2,2,4,2
variant_11762,395,218,137,221,391
variant_11763,92,55,65,109,112
variant_11764,426,396,165,129,82
variant_11765,2734,5503,4999,7504,11532
variant_11766,33,76,47,68,95
variant_11767,56,52,42,54,45
variant_11768,51,3,4,11,3
variant_11769,196,478,430,584,810
variant_11770,144,56,9,6,3
variant_11771,31,1,0,0,0
variant_11772,177,326,301,372,524
variant_11773,1678,138,7,11,6
variant_11774,55,0,1,2,0
variant_11775,287,482,504,685,854
variant_11776,210,88,23,7,9
variant_11777,738,313,61,17,15
variant_11778,98,66,17,11,9
variant_11779,1168,641,348,323,295
variant_11780,38,0,0,2,0
variant_11781,626,1024,1408,1698,2419
variant_11782,120,0,0,0,1
variant_11783,468,146,30,31,22
variant_11784,1488,1298,1377,1952,2110
variant_11785,258,18,0,0,0
variant_11786,40,56,38,47,87
variant_11787,233,29,19,7,10
variant_11788,17,1,0,1,0
variant_11789,63,139,116,168,214
variant_11790,203,69,7,1,4
variant_11791,45,3,2,0,0
variant_11792,24,2,0,2,3
variant_11793,6,2,11,5,15
variant_11794,879,589,159,100,65
variant_11795,459,226,24,30,6
variant_11796,19,8,0,3,4
variant_11797,34,2,10,2,4
variant_11798,454,492,448,520,516
variant_11799,290,21,2,1,1
variant_11800,581,130,15,17,11
variant_11801,259,10,5,0,0
variant_11802,233,475,334,209,200
variant_11803,121,82,61,72,97
variant_11804,150,17,1,0,0
variant_11805,262,464,570,998,1249
variant_11806,47,0,0,1,0
variant_11807,49,40,11,1,3
variant_11808,68,120,105,146,186
variant_11809,232,76,40,50,21
variant_11810,59,123,98,125,182
variant_11811,15,3,0,0,0
variant_11812,206,13,3,3,2
variant_11813,560,715,674,929,1090
variant_11814,848,157,5,7,1
variant_11815,55,58,51,88,152
variant_11816,1106,466,99,70,53
variant_11817,308,527,548,714,1094
variant_11818,901,1371,1625,2353,2969
variant_11819,345,112,60,48,51
variant_11820,388,397,344,587,841
variant_11821,205,87,7,9,9
variant_11822,27,13,3,1,1
variant_11823,264,537,467,645,834
variant_11824,104,165,131,119,115
variant_11825,1006,1105,863,991,984
variant_11826,44,5,12,11,40
variant_11827,497,691,575,620,954
variant_11828,68,65,68,75,105
variant_11829,72,37,63,83,118
variant_11830,201,33,3,13,11
variant_11831,267,122,110,163,178
variant_11832,34,1,0,0,0
variant_11833,26,0,0,0,2
variant_11834,257,449,532,764,1215
variant_11835,98,7,1,0,0
variant_11836,255,128,31,19,14
variant_11837,136,75,33,33,22
variant_11838,310,163,125,173,140
variant_11839,42,19,20,20,21
variant_11840,461,678,428,539,557
variant_11841,22,0,2,2,0
variant_11842,212,314,102,81,184
variant_11843,32,1,0,2,2
variant_11844,236,90,17,16,18
variant_11845,282,276,112,99,72
variant_11846,757,141,41,41,46
variant_11847,179,239,266,382,643
variant_11848,6,1,1,1,0
variant_11849,212,59,34,30,18
variant_11850,19,0,0,0,1
variant_11851,20,0,2,0,1
variant_11852,748,63,11,14,14
variant_11853,541,698,759,1118,1287
variant_11854,547,178,58,38,32
variant_11855,220,166,79,67,42
variant_11856,1050,123,25,3,23
variant_11857,191,586,650,1255,1690
variant_11858,216,181,59,53,55
variant_11859,126,51,18,5,3
variant_11860,274,211,208,228,222
variant_11861,262,284,141,183,166
variant_11862,77,236,243,362,649
variant_11863,834,151,14,17,12
variant_11864,64,87,74,73,96
variant_11865,107,8,3,3,0
variant_11866,93,200,199,253,283
variant_11867,367,662,599,628,764
variant_11868,87,0,0,1,0
variant_11869,423,255,74,70,58
variant_11870,256,38,9,12,8
variant_11871,47,47,32,13,19
variant_11872,23,2,1,3,1
variant_11873,1805,2442,2340,3257,4333
variant_11874,2816,4144,2812,3305,3265
variant_11875,143,9,0,2,0
variant_11876,967,889,644,668,577
variant_11877,124,124,114,157,150
variant_11878,520,807,634,665,995
variant_11879,143,9,12,32,16
variant_11880,122,161,112,149,184
variant_11881,208,12,0,1,0
variant_11882,144,10,0,0,0
variant_11883,511,58,10,25,5
variant_11884,483,157,23,13,12
variant_11885,893,1050,1178,1538,1935
variant_11886,957,1912,1861,2517,3277
variant_11887,809,541,192,131,103
variant_11888,36,25,31,34,64
variant_11889,74,58,79,73,98
variant_11890,43,35,13,12,16
variant_11891,428,872,942,1244,2121
variant_11892,11,0,0,0,0
variant_11893,374,639,433,505,652
variant_11894,454,1072,1071,1435,2487
variant_11895,111,0,0,3,1
variant_11896,651,1073,1109,1440,1803
variant_11897,55,102,91,133,192
variant_11898,553,715,696,774,909
variant_11899,173,208,296,369,517
variant_11900,715,155,50,27,34
variant_11901,17,0,0,0,0
variant_11902,149,173,175,204,203
variant_11903,30,27,14,16,22
variant_11904,50,58,58,82,87
variant_11905,148,512,623,808,1022
variant_11906,190,205,253,339,401
variant_11907,259,19,1,2,0
variant_11908,242,62,11,12,5
variant_11909,236,289,375,545,707
variant_11910,20,1,2,2,0
variant_11911,458,657,697,800,1219
variant_11912,1049,1603,2089,3144,3871
variant_11913,40,1,0,0,0
variant_11914,767,298,69,41,13
variant_11915,245,142,151,178,179
variant_11916,470,535,520,593,810
variant_11917,376,30,1,0,1
variant_11918,124,187,108,107,70
variant_11919,74,9,0,0,0
variant_11920,2360,2882,2481,3498,4297
variant_11921,99,10,0,0,0
variant_11922,155,118,122,169,189
variant_11923,2086,2415,2380,3484,3761
variant_11924,80,34,26,20,21
variant_11925,436,517,665,1023,1413
variant_11926,27,7,0,2,0
variant_11927,368,93,2,0,1
variant_11928,45,6,9,5,13
variant_11929,455,268,225,211,167
variant_11930,46,0,1,1,2
variant_11931,54,2,10,9,11
variant_11932,151,61,22,41,49
variant_11933,426,118,24,27,20
variant_11934,135,71,71,132,133
variant_11935,179,188,274,388,569
variant_11936,337,83,10,17,6
variant_11937,368,27,11,1,3
variant_11938,165,181,180,252,272
variant_11939,66,23,3,1,0
variant_11940,151,52,84,127,134
variant_11941,669,1238,1067,1753,2546
variant_11942,472,45,8,2,2
variant_11943,319,259,262,337,492
variant_11944,16,5,2,5,1
variant_11945,241,19,16,10,9
variant_11946,235,224,179,204,238
variant_11947,47,91,62,116,120
variant_11948,301,588,523,881,1094
variant_11949,569,888,1018,1777,2077
variant_11950,74,0,1,0,0
variant_11951,445,383,261,358,257
variant_11952,1094,1375,798,788,621
variant_11953,139,281,168,240,307
variant_11954,17,0,0,0,0
variant_11955,1101,2089,1861,2583,3118
variant_11956,509,1275,1190,1204,1662
variant_11957,556,1302,1279,1864,2671
variant_11958,205,225,246,395,543
variant_11959,21,0,0,0,2
variant_11960,21,0,0,0,1
variant_11961,865,561,118,73,30
variant_11962,307,205,93,89,66
variant_11963,663,212,59,49,46
variant_11964,15,0,0,0,0
variant_11965,988,316,115,72,49
variant_11966,119,6,6,12,11
variant_11967,4,0,0,0,0
variant_11968,1014,930,453,558,496
variant_11969,355,77,33,23,14
variant_11970,341,213,35,36,27
variant_11971,236,165,142,170,166
variant_11972,76,35,32,38,20
variant_11973,474,269,84,88,67
variant_11974,517,272,87,64,23
variant_11975,106,3,0,0,2
variant_11976,249,270,240,272,340
variant_11977,39,0,0,2,4
variant_11978,64,64,60,140,187
variant_11979,35,0,0,0,0
variant_11980,53,0,1,0,0
variant_11981,72,1,0,0,1
variant_11982,116,7,9,2,1
variant_11983,442,162,14,10,6
variant_11984,1047,1650,1656,2498,3692
variant_11985,107,2,2,4,0
variant_11986,206,23,6,6,1
variant_11987,135,56,62,87,150
variant_11988,909,1256,1530,2263,2726
variant_11989,426,743,905,1389,1851
variant_11990,118,177,84,52,46
variant_11991,1507,2355,2120,2555,3593
variant_11992,146,181,159,198,354
variant_11993,30,3,6,4,0
variant_11994,92,124,138,176,160
variant_11995,122,117,79,108,84
variant_11996,28,1,0,0,0
variant_11997,147,99,14,10,12
variant_11998,723,1256,1086,1291,1773
variant_11999,105,64,11,18,6
variant_12000,185,42,2,8,0
variant_12001,71,41,19,24,38
variant_12002,23,0,0,0,1
variant_12003,127,48,16,15,11
variant_12004,173,119,41,47,49
variant_12005,281,349,194,217,300
variant_12006,128,394,391,540,775
variant_12007,203,63,4,11,5
variant_12008,417,13,0,0,1
variant_12009,624,371,262,200,132
variant_12010,78,101,125,119,149
variant_12011,113,2,3,1,1
variant_12012,240,100,146,165,258
variant_12013,171,766,667,621,1244
variant_12014,48,34,37,61,114
variant_12015,64,151,157,266,389
variant_12016,340,668,409,241,520
variant_12017,135,29,10,20,20
variant_12018,417,877,774,771,1146
variant_12019,472,178,66,33,31
variant_12020,555,878,1101,1526,1840
variant_12021,96,159,137,199,226
variant_12022,21,12,10,15,21
variant_12023,64,0,1,0,1
variant_12024,640,107,27,33,26
variant_12025,5,0,0,0,0
variant_12026,103,114,96,106,91
variant_12027,2199,2058,1923,2304,1998
variant_12028,83,20,0,1,0
variant_12029,520,59,3,6,3
variant_12030,143,92,26,11,2
variant_12031,148,416,446,588,783
variant_12032,209,153,69,46,34
variant_12033,661,103,4,0,0
variant_12034,376,378,409,635,654
variant_12035,25,0,0,0,0
variant_12036,103,49,18,11,10
variant_12037,208,177,196,156,148
variant_12038,131,12,0,2,1
variant_12039,109,3,3,8,4
variant_12040,425,334,250,333,360
variant_12041,28,0,1,0,0
variant_12042,3123,9927,8508,11075,13140
variant_12043,174,83,90,139,145
variant_12044,234,141,54,40,33
variant_12045,384,111,24,31,13
variant_12046,64,0,0,1,2
variant_12047,1232,1411,1442,2890,3848
variant_12048,370,240,134,165,101
variant_12049,530,60,3,13,7
variant_12050,971,1255,1035,1442,1575
variant_12051,300,246,105,111,157
variant_12052,102,140,80,45,45
variant_12053,14,0,0,0,0
variant_12054,562,796,808,1055,1473
variant_12055,59,6,0,0,3
variant_12056,457,1011,1081,1494,2110
variant_12057,685,203,81,72,54
variant_12058,53,34,13,13,19
variant_12059,89,46,42,15,9
variant_12060,89,259,322,572,1002
variant_12061,351,111,44,34,13
variant_12062,136,160,181,185,243
variant_12063,4,0,0,0,0
variant_12064,469,747,826,1032,1453
variant_12065,912,2386,2453,3201,4318
variant_12066,169,252,246,318,462
variant_12067,524,248,157,142,170
variant_12068,57,2,1,3,8
variant_12069,51,12,3,8,20
variant_12070,504,326,150,130,119
variant_12071,1237,1909,1907,2147,2526
variant_12072,158,25,5,6,2
variant_12073,395,685,449,549,637
variant_12074,347,449,351,484,484
variant_12075,65,32,15,5,3
variant_12076,151,191,154,255,345
variant_12077,98,146,119,217,263
variant_12078,73,3,1,0,0
variant_12079,2980,343,3,4,1
variant_12080,33,1,1,4,0
variant_12081,186,148,83,121,352
variant_12082,461,37,3,5,0
variant_12083,1129,444,135,134,91
variant_12084,603,366,247,235,254
variant_12085,372,138,143,217,306
variant_12086,30,0,2,1,0
variant_12087,14,10,11,16,17
variant_12088,70,11,11,8,12
variant_12089,641,1541,1594,2214,3271
variant_12090,222,303,208,292,614
variant_12091,6,1,1,0,1
variant_12092,173,16,2,0,2
variant_12093,23,3,0,0,0
variant_12094,5,4,1,3,0
variant_12095,855,330,88,53,39
variant_12096,140,25,4,2,1
variant_12097,1186,2013,1711,2490,2752
variant_12098,25,101,52,103,166
variant_12099,311,53,38,36,26
variant_12100,315,347,352,508,597
variant_12101,414,837,889,1280,1802
variant_12102,340,734,773,957,1572
variant_12103,212,24,0,0,4
variant_12104,493,44,1,1,1
variant_12105,441,609,374,435,490
variant_12106,141,12,0,1,0
variant_12107,2098,4078,4590,6345,8850
variant_12108,1129,1550,1923,2453,3437
variant_12109,1218,1203,1002,1216,1547
variant_12110,219,61,46,22,41
variant_12111,86,0,0,0,1
variant_12112,11,0,0,0,0
variant_12113,133,57,31,30,13
variant_12114,847,1412,1288,1833,2108
variant_12115,274,426,379,491,779
variant_12116,65,58,56,38,30
variant_12117,75,19,0,0,0
variant_12118,6,0,0,0,0
variant_12119,245,227,73,67,80
variant_12120,71,0,0,1,0
variant_12121,135,2,1,1,0
variant_12122,722,35,5,0,2
variant_12123,19,1,0,0,0
variant_12124,40,3,5,5,7
variant_12125,899,146,55,53,42
variant_12126,1530,239,47,41,32
variant_12127,252,299,345,529,858
variant_12128,473,622,512,604,794
variant_12129,372,707,737,888,1111
variant_12130,6,0,0,0,0
variant_12131,434,137,61,61,54
variant_12132,434,123,17,4,6
variant_12133,867,2010,1850,2454,3889
variant_12134,31,11,18,6,6
variant_12135,6,9,6,6,15
variant_12136,1537,2514,2438,3201,3456
variant_12137,374,416,379,463,405
variant_12138,15,1,0,0,2
variant_12139,172,145,78,35,37
variant_12140,65,57,29,21,24
variant_12141,8,0,0,1,1
variant_12142,973,477,297,205,207
variant_12143,86,12,1,3,2
variant_12144,1471,263,64,62,41
variant_12145,23,0,0,1,0
variant_12146,465,81,56,55,23
variant_12147,10,0,0,0,0
variant_12148,495,1254,1217,1861,2793
variant_12149,82,43,24,17,6
variant_12150,16,4,3,3,11
variant_12151,847,589,344,358,286
variant_12152,715,520,249,206,217
variant_12153,67,101,99,112,256
variant_12154,57,6,0,0,0
variant_12155,76,10,1,0,1
variant_12156,313,52,41,35,26
variant_12157,42,0,0,0,0
variant_12158,481,349,222,174,210
variant_12159,34,0,0,0,0
variant_12160,564,114,6,8,3
variant_12161,705,611,191,141,61
variant_12162,74,1,1,0,0
variant_12163,569,108,8,10,5
variant_12164,16,18,17,14,24
variant_12165,806,1070,717,649,753
variant_12166,8,0,0,0,0
variant_12167,494,869,870,1126,1363
variant_12168,243,280,237,276,314
variant_12169,92,129,119,183,190
variant_12170,477,364,198,163,104
variant_12171,300,151,38,43,49
variant_12172,68,59,34,63,70
variant_12173,70,71,75,79,159
variant_12174,240,377,403,374,538
variant_12175,96,2,1,1,8
variant_12176,148,17,0,0,0
variant_12177,54,0,2,6,4
variant_12178,521,351,221,265,344
variant_12179,97,27,29,45,76
variant_12180,45,6,7,4,6
variant_12181,15,0,0,0,0
variant_12182,335,559,355,489,674
variant_12183,19,1,1,0,0
variant_12184,151,207,183,242,273
variant_12185,23,0,1,0,0
variant_12186,343,504,505,743,1021
variant_12187,127,2,6,8,3
variant_12188,26,0,0,3,0
variant_12189,195,266,198,292,278
variant_12190,29,0,0,0,0
variant_12191,971,2010,1748,2308,2907
variant_12192,778,161,21,9,12
variant_12193,11,0,0,0,0
variant_12194,384,461,558,766,1020
variant_12195,250,242,109,128,75
variant_12196,10,0,1,0,1
variant_12197,48,0,3,0,0
variant_12198,50,46,42,45,93
variant_12199,496,91,21,5,8
variant_12200,105,10,0,0,0
variant_12201,165,405,360,382,516
variant_12202,126,134,91,124,261
variant_12203,71,14,9,21,28
variant_12204,507,229,60,69,54
variant_12205,123,12,0,1,0
variant_12206,788,538,266,252,205
variant_12207,541,468,150,109,70
variant_12208,11,0,0,0,0
variant_12209,329,57,10,4,1
variant_12210,143,245,252,341,391
variant_12211,84,80,79,118,141
variant_12212,16,2,0,0,0
variant_12213,129,50,43,64,73
variant_12214,406,224,66,48,24
variant_12215,857,424,96,164,96
variant_12216,467,230,87,77,56
variant_12217,77,1,2,1,3
variant_12218,357,435,368,420,614
variant_12219,75,10,6,6,9
variant_12220,99,18,17,30,36
variant_12221,1433,829,394,327,242
variant_12222,114,15,0,0,0
variant_12223,31,0,0,1,0
variant_12224,640,649,495,612,691
variant_12225,429,451,251,245,187
variant_12226,330,20,0,0,0
variant_12227,235,61,7,3,1
variant_12228,7,0,0,0,1
variant_12229,145,14,1,1,0
variant_12230,26,28,25,55,42
variant_12231,1642,1151,630,942,1023
variant_12232,215,143,57,50,62
variant_12233,187,116,35,16,7
variant_12234,17,0,0,2,2
variant_12235,237,100,28,16,9
variant_12236,234,337,290,408,463
variant_12237,417,58,32,6,2
variant_12238,295,59,21,12,7
variant_12239,530,458,113,83,53
variant_12240,75,198,248,423,357
variant_12241,202,5,1,0,0
variant_12242,2538,478,165,260,207
variant_12243,37,0,1,0,0
variant_12244,227,449,442,550,709
variant_12245,899,1627,1616,2379,3616
variant_12246,10,0,0,0,0
variant_12247,110,12,0,1,0
variant_12248,327,95,15,32,12
variant_12249,150,180,72,91,72
variant_12250,44,1,0,0,4
variant_12251,99,0,0,1,5
variant_12252,107,0,0,2,1
variant_12253,316,24,0,2,0
variant_12254,457,12,0,1,0
variant_12255,84,65,44,39,19
variant_12256,209,4,0,2,1
variant_12257,564,140,3,1,2
variant_12258,20,0,0,0,0
variant_12259,141,510,495,517,700
variant_12260,4,0,0,0,0
variant_12261,90,29,5,3,5
variant_12262,581,836,580,399,474
variant_12263,130,53,28,24,18
variant_12264,607,1657,1729,2379,3064
variant_12265,46,30,2,0,1
variant_12266,174,99,62,71,74
variant_12267,1029,424,151,154,78
variant_12268,26,0,0,0,2
variant_12269,135,18,3,4,1
variant_12270,161,16,12,26,11
variant_12271,124,10,16,13,1
variant_12272,4,0,0,1,0
variant_12273,30,0,0,1,0
variant_12274,110,6,12,0,4
variant_12275,103,205,228,401,370
variant_12276,1035,860,301,297,206
variant_12277,220,21,0,3,3
variant_12278,71,16,33,59,63
variant_12279,29,0,1,2,0
variant_12280,52,32,24,22,53
variant_12281,25,1,1,0,0
variant_12282,402,80,21,27,14
variant_12283,504,201,33,27,26
variant_12284,462,662,723,906,1323
variant_12285,127,230,93,81,81
variant_12286,984,85,32,25,16
variant_12287,21,0,0,0,0
variant_12288,471,160,125,130,88
variant_12289,275,15,1,0,0
variant_12290,347,33,11,7,2
variant_12291,2293,888,263,225,110
variant_12292,709,631,281,388,240
variant_12293,29,26,29,36,44
variant_12294,88,132,32,45,54
variant_12295,175,349,481,602,1105
variant_12296,4,0,0,0,0
variant_12297,55,37,17,17,4
variant_12298,655,144,43,39,16
variant_12299,64,100,89,126,189
variant_12300,158,238,128,152,210
variant_12301,648,494,483,558,628
variant_12302,697,598,817,1371,2016
variant_12303,240,36,2,2,4
variant_12304,15,0,0,1,0
variant_12305,979,493,315,349,342
variant_12306,1289,1946,1950,2409,3244
variant_12307,514,1085,1134,1409,1664
variant_12308,234,52,6,13,7
variant_12309,88,36,21,22,5
variant_12310,160,185,39,37,38
variant_12311,10,2,0,0,0
variant_12312,625,112,9,14,6
variant_12313,296,221,77,105,98
variant_12314,1195,1658,1796,2510,3067
variant_12315,170,181,100,120,88
variant_12316,34,0,0,0,0
variant_12317,40,3,0,1,3
variant_12318,37,2,1,0,1
variant_12319,383,392,276,256,277
variant_12320,553,678,442,681,827
variant_12321,324,110,17,20,8
variant_12322,282,163,91,68,85
variant_12323,620,1289,1174,1534,1698
variant_12324,656,1435,1557,2064,2336
variant_12325,402,459,442,653,891
variant_12326,193,298,269,468,755
variant_12327,63,28,9,11,5
variant_12328,232,274,117,127,143
variant_12329,30,0,0,1,2
variant_12330,362,482,366,384,549
variant_12331,2108,2899,2214,2658,2701
variant_12332,1329,182,62,40,26
variant_12333,314,196,78,70,38
variant_12334,209,145,36,35,18
variant_12335,300,230,134,115,104
variant_12336,14,8,9,12,13
variant_12337,73,253,170,253,215
variant_12338,104,315,295,628,1269
variant_12339,201,362,289,328,507
variant_12340,466,856,760,1205,1355
variant_12341,329,9,0,0,6
variant_12342,49,37,46,51,53
variant_12343,322,15,1,1,3
variant_12344,355,447,376,507,436
variant_12345,177,148,155,226,277
variant_12346,6,1,0,2,5
variant_12347,342,155,102,140,171
variant_12348,847,492,198,134,147
variant_12349,503,69,5,18,6
variant_12350,20,30,6,7,11
variant_12351,325,87,32,25,16
variant_12352,11,0,0,0,0
variant_12353,919,143,60,37,25
variant_12354,35,0,0,0,1
variant_12355,90,7,0,0,0
variant_12356,17,0,2,2,0
variant_12357,53,51,36,36,45
variant_12358,199,424,358,424,459
variant_12359,285,161,68,56,31
variant_12360,48,0,0,0,3
variant_12361,32,0,0,0,0
variant_12362,949,1056,553,479,499
variant_12363,635,696,496,649,887
variant_12364,412,312,286,531,636
variant_12365,132,72,60,87,104
variant_12366,826,132,30,34,34
variant_12367,996,162,12,9,3
variant_12368,619,77,9,31,7
variant_12369,30,0,0,0,1
variant_12370,44,0,0,0,0
variant_12371,219,329,251,245,278
variant_12372,719,427,188,174,94
variant_12373,554,113,24,24,19
variant_12374,30,1,1,0,0
variant_12375,111,1,0,0,3
variant_12376,1044,1280,785,1159,1225
variant_12377,86,9,11,9,19
variant_12378,234,27,1,4,0
variant_12379,359,651,405,475,848
variant_12380,140,146,126,143,212
variant_12381,38,0,0,0,0
variant_12382,91,89,39,48,19
variant_12383,499,162,48,64,42
variant_12384,294,24,0,4,1
variant_12385,742,441,487,996,1509
variant_12386,32,15,18,4,3
variant_12387,31,0,0,0,0
variant_12388,13,0,0,0,0
variant_12389,85,2,0,0,1
variant_12390,684,234,58,77,51
variant_12391,309,360,278,461,570
variant_12392,53,2,0,0,0
variant_12393,226,45,35,15,8
variant_12394,319,19,2,2,4
variant_12395,81,4,0,0,0
variant_12396,154,120,121,149,149
variant_12397,208,158,102,166,116
variant_12398,93,101,93,89,64
variant_12399,118,79,57,55,71
variant_12400,1035,1531,1665,2429,3504
variant_12401,689,50,2,0,0
variant_12402,65,9,0,0,0
variant_12403,225,144,71,46,33
variant_12404,85,83,100,112,209
variant_12405,568,579,296,258,205
variant_12406,287,389,448,567,713
variant_12407,114,8,21,2,5
variant_12408,168,1,3,0,0
variant_12409,163,41,1,7,2
variant_12410,34,0,0,1,2
variant_12411,63,0,0,0,0
variant_12412,410,173,37,10,11
variant_12413,1226,50,18,7,2
variant_12414,103,196,144,201,229
variant_12415,11,0,0,0,0
variant_12416,443,212,103,98,56
variant_12417,13,17,26,26,40
variant_12418,255,290,192,190,151
variant_12419,252,328,321,616,746
variant_12420,168,159,170,178,188
variant_12421,867,1169,1307,1461,2062
variant_12422,16,0,0,0,0
variant_12423,612,232,59,26,16
variant_12424,97,9,10,10,15
variant_12425,17,0,0,0,1
variant_12426,24,0,0,0,1
variant_12427,243,158,159,273,396
variant_12428,575,978,1156,1447,1909
variant_12429,638,48,0,0,0
variant_12430,42,21,19,18,28
variant_12431,805,445,196,172,100
